173f.00	Anxiety about breathlessness
Eu40011	[X]Agoraphobia without history of panic disorder
Eu40012	[X]Panic disorder with agoraphobia
Eu40100	[X]Social phobias
Eu40111	[X]Anthropophobia
Eu40112	[X]Social neurosis
Eu40200	[X]Specific (isolated) phobias
Eu40211	[X]Acrophobia
Eu40212	[X]Animal phobias
Eu40213	[X]Claustrophobia
Eu40214	[X]Simple phobia
Eu40299	Needle phobia
Eu40300	[X]Needle phobia
Eu40y00	[X]Other phobic anxiety disorders
Eu40z00	[X]Phobic anxiety disorder, unspecified
Eu40z11	[X]Phobia NOS
Eu40z12	[X]Phobic state NOS
Eu41.00	[X]Other anxiety disorders
Eu41000	[X]Panic disorder [episodic paroxysmal anxiety]
Eu41011	[X]Panic attack
Eu41012	[X]Panic state
Eu41100	[X]Generalized anxiety disorder
Eu41111	[X]Anxiety neurosis
Eu41112	[X]Anxiety reaction
Eu41113	[X]Anxiety state
Eu41200	[X]Mixed anxiety and depressive disorder
Eu41211	[X]Mild anxiety depression
Eu41300	[X]Other mixed anxiety disorders
Eu41y00	[X]Other specified anxiety disorders
Eu41y11	[X]Anxiety hysteria
Eu41z00	[X]Anxiety disorder, unspecified
Eu41z11	[X]Anxiety NOS
Eu42.00	[X]Obsessive - compulsive disorder
Eu42.12	[X]Obsessive-compulsive neurosis
Eu42000	[X]Predominantly obsessional thoughts or ruminations
Eu42100	[X]Predominantly compulsive acts [obsessional rituals]
Eu42200	[X]Mixed obsessional thoughts and acts
Eu42y00	[X]Other obsessive-compulsive disorders
Eu42z00	[X]Obsessive-compulsive disorder, unspecified
Eu43013	[X]Combat fatigue
Eu43100	[X]Post - traumatic stress disorder
Eu43111	[X]Traumatic neurosis
Eu43300	[X]Acute post-traumatic stress disorder follow military comb
Eu43400	[X]Chron post-traumatic stress disorder follow military comb
Eu43500	[X]Delayed post-traumat stress disorder follow military comb
Eu43y00	[X]Other reactions to severe stress
Eu43z00	[X]Reaction to severe stress, unspecified
Eu93000	[X]Separation anxiety disorder of childhood
Eu93100	[X]Phobic anxiety disorder of childhood
Eu93200	[X]Social anxiety disorder of childhood
Eu93y12	[X]Childhood overanxious disorder
Z481.00	Phobia counselling
Z4I7.00	Acknowledging anxiety
Z4I7100	Recognising anxiety
Z4I7200	Alleviating anxiety
Z4I7211	Reducing anxiety
Z4L1.00	Anxiety counselling
Z522600	Flooding - obsessional compulsive disorder
1B17.00	Depressed
1B17.11	C/O - feeling depressed
1B17.12	C/O - feeling unhappy
1B1U.00	Symptoms of depression
1B1U.11	Depressive symptoms
1BT..00	Depressed mood
1BT..11	Low mood
1BT..12	Sad mood
1JJ..00	Suspected depression
1S40.00	Dysphoric mood
212S.00	Depression resolved
2257.00	O/E - depressed
62T1.00	Puerperal depression
6659000	Antidepressant drug treatment started
6G00.00	Postnatal depression counselling
8BK0.00	Depression management programme
8CAa.00	Patient given advice about management of depression
8HHq.00	Referral for guided self-help for depression
8HHq000	Referral for depression self-help video
8IH5200	Referral for guided self-help for depression declined
9H90.00	Depression annual review
9H91.00	Depression medication review
9H92.00	Depression interim review
9HA0.00	On depression register
9Ov..00	Depression monitoring administration
9Ov0.00	Depression monitoring first letter
9Ov1.00	Depression monitoring second letter
9Ov2.00	Depression monitoring third letter
9Ov3.00	Depression monitoring verbal invite
9Ov4.00	Depression monitoring telephone invite
9hC..00	Exception reporting: depression quality indicators
9hC0.00	Excepted from depression quality indicators: Patient unsuita
9hC1.00	Excepted from depression quality indicators: Informed dissen
9k4..00	Depression - enhanced services administration
9k40.00	Depression - enhanced service completed
9kQ..00	On full dose long term treatment depression - enh serv admin
9kQ..11	On full dose long term treatment for depression
E02y300	Drug-induced depressive state
E11..12	Depressive psychoses
E112.00	Single major depressive episode
E112.11	Agitated depression
E112.12	Endogenous depression first episode
E112.13	Endogenous depression first episode
E112.14	Endogenous depression
E112000	Single major depressive episode, unspecified
E112100	Single major depressive episode, mild
E112200	Single major depressive episode, moderate
E112300	Single major depressive episode, severe, without psychosis
E112400	Single major depressive episode, severe, with psychosis
E112500	Single major depressive episode, partial or unspec remission
E112600	Single major depressive episode, in full remission
E112z00	Single major depressive episode NOS
E113.00	Recurrent major depressive episode
E113.11	Endogenous depression - recurrent
E113000	Recurrent major depressive episodes, unspecified
E113100	Recurrent major depressive episodes, mild
E113200	Recurrent major depressive episodes, moderate
E113300	Recurrent major depressive episodes, severe, no psychosis
E113400	Recurrent major depressive episodes, severe, with psychosis
E113500	Recurrent major depressive episodes,partial/unspec remission
E113600	Recurrent major depressive episodes, in full remission
E113700	Recurrent depression
E113z00	Recurrent major depressive episode NOS
E118.00	Seasonal affective disorder
E11y200	Atypical depressive disorder
E11z200	Masked depression
E130.00	Reactive depressive psychosis
E130.11	Psychotic reactive depression
E135.00	Agitated depression
E200300	Anxiety with depression
E204.00	Neurotic depression reactive type
E204.11	Postnatal depression
E204.99	Reactive (neurotic) depression
E211299	Depressive personality
E290.00	Brief depressive reaction
E290000	Grief reaction
E290011	Bereavement reaction
E290z00	Brief depressive reaction NOS
E291.00	Prolonged depressive reaction
E2B..00	Depressive disorder NEC
E2B..98	Depression
E2B..99	Depression NOS
E2B0.00	Postviral depression
E2B1.00	Chronic depression
Eu05300	[X]Organic mood [affective] disorders
Eu06y11	[X]Right hemispheric organic affective disorder
Eu20400	[X]Post-schizophrenic depression
Eu25100	[X]Schizoaffective disorder, depressive type
Eu25111	[X]Schizoaffective psychosis, depressive type
Eu25112	[X]Schizophreniform psychosis, depressive type
Eu3..00	[X]Mood - affective disorders
Eu32.00	[X]Depressive episode
Eu32.11	[X]Single episode of depressive reaction
Eu32.12	[X]Single episode of psychogenic depression
Eu32.13	[X]Single episode of reactive depression
Eu32000	[X]Mild depressive episode
Eu32099	Mild depression
Eu32100	[X]Moderate depressive episode
Eu32199	Moderate depression
Eu32200	[X]Severe depressive episode without psychotic symptoms
Eu32211	[X]Single episode agitated depressn w'out psychotic symptoms
Eu32212	[X]Single episode major depression w'out psychotic symptoms
Eu32213	[X]Single episode vital depression w'out psychotic symptoms
Eu32299	Severe depression
Eu32300	[X]Severe depressive episode with psychotic symptoms
Eu32311	[X]Single episode of major depression and psychotic symptoms
Eu32312	[X]Single episode of psychogenic depressive psychosis
Eu32313	[X]Single episode of psychotic depression
Eu32314	[X]Single episode of reactive depressive psychosis
Eu32400	[X]Mild depression
Eu32500	[X]Major depression, mild
Eu32600	[X]Major depression, moderately severe
Eu32700	[X]Major depression, severe without psychotic symptoms
Eu32800	[X]Major depression, severe with psychotic symptoms
Eu32900	Single major depressive episode, severe, with psychosis, psychosis in remission
Eu32A00	Recurrent major depressive episodes, severe, with psychosis, psychosis in remission
Eu32B00	[X]Antenatal depression
Eu32y00	[X]Other depressive episodes
Eu32y11	[X]Atypical depression
Eu32y12	[X]Single episode of masked depression NOS
Eu32z00	[X]Depressive episode, unspecified
Eu32z11	[X]Depression NOS
Eu32z12	[X]Depressive disorder NOS
Eu32z13	[X]Prolonged single episode of reactive depression
Eu32z14	[X] Reactive depression NOS
Eu33.00	[X]Recurrent depressive disorder
Eu33.11	[X]Recurrent episodes of depressive reaction
Eu33.12	[X]Recurrent episodes of psychogenic depression
Eu33.13	[X]Recurrent episodes of reactive depression
Eu33.14	[X]Seasonal depressive disorder
Eu33.15	[X]SAD - Seasonal affective disorder
Eu33000	[X]Recurrent depressive disorder, current episode mild
Eu33100	[X]Recurrent depressive disorder, current episode moderate
Eu33200	[X]Recurr depress disorder cur epi severe without psyc sympt
Eu33211	[X]Endogenous depression without psychotic symptoms
Eu33212	[X]Major depression, recurrent without psychotic symptoms
Eu33214	[X]Vital depression, recurrent without psychotic symptoms
Eu33300	[X]Recurrent depress disorder cur epi severe with psyc symp
Eu33311	[X]Endogenous depression with psychotic symptoms
Eu33313	[X]Recurr severe episodes/major depression+psychotic symptom
Eu33314	[X]Recurr severe episodes/psychogenic depressive psychosis
Eu33315	[X]Recurrent severe episodes of psychotic depression
Eu33316	[X]Recurrent severe episodes/reactive depressive psychosis
Eu33400	[X]Recurrent depressive disorder, currently in remission
Eu33y00	[X]Other recurrent depressive disorders
Eu33z00	[X]Recurrent depressive disorder, unspecified
Eu33z11	[X]Monopolar depression NOS
Eu34.00	[X]Persistent mood affective disorders
Eu34100	[X]Dysthymia
Eu34111	[X]Depressive neurosis
Eu34113	[X]Neurotic depression
Eu34114	[X]Persistant anxiety depression
Eu34y00	[X]Other persistent mood affective disorders
Eu34z00	[X]Persistent mood affective disorder, unspecified
Eu3y.00	[X]Other mood affective disorders
Eu3y000	[X]Other single mood affective disorders
Eu3y011	[X]Mixed affective episode
Eu3y100	[X]Other recurrent mood affective disorders
Eu3y111	[X]Recurrent brief depressive episodes
Eu3yy00	[X]Other specified mood affective disorders
Eu3z.00	[X]Unspecified mood affective disorder
Eu41200	[X]Mixed anxiety and depressive disorder
Eu41211	[X]Mild anxiety depression
Eu53011	[X]Postnatal depression NOS
Eu53012	[X]Postpartum depression NOS
Eu92000	[X]Depressive conduct disorder
R007z13	[D]Postoperative depression
ZV11100	[V]Personal history of affective disorder
