bll..00	NIFEDIPINE [2]
bl7y.00	NICARDIPINE 20mg capsules
bl7x.00	NICARDIPINE 30mg m/r capsules
bl7w.00	NICARDIPINE 45mg m/r capsules
bl75.00	NICARDIPINE 10mg/10mL solution for injection
bl74.00	CARDENE SR 45mg m/r capsules
bl73.00	CARDENE SR 30mg m/r capsules
bl72.00	CARDENE 30mg capsules
bl71.00	CARDENE 20mg capsules
ble..00	LACIDIPINE
ble2.00	LACIDIPINE 4mg tablets
ble1.00	LACIDIPINE 2mg tablets
ble5.00	MOLAP 4mg tablets
ble4.00	MOTENS 4mg tablets
ble3.00	MOTENS 2mg tablets
blc..00	FELODIPINE
blc5.00	FELODIPINE 2.5mg m/r tablets
blc2.00	FELODIPINE 10mg m/r tablets
blc1.00	FELODIPINE 5mg m/r tablets
blct.00	FELOTENS XL 2.5mg m/r tablets
blcs.00	NEOFEL XL 2.5mg m/r tablets
blcr.00	CARDIOPLEN XL 2.5mg m/r tablets
blcq.00	PINEFELD XL 10mg m/r tablets
blcp.00	PARMID XL 10mg m/r tablets
blco.00	PARMID XL 5mg m/r tablets
blcn.00	NEOFEL XL 10mg m/r tablets
blcm.00	NEOFEL XL 5mg m/r tablets
blcl.00	CARDIOPLEN XL 10mg m/r tablets
blck.00	CARDIOPLEN XL 5mg m/r tablets
blcj.00	VASCALPHA 10mg m/r tablets
blci.00	VASCALPHA 5mg m/r tablets
blch.00	FELOGEN XL 10mg m/r tablets
blcg.00	KELOC SR 10mg m/r tablets
blcf.00	KELOC SR 5mg m/r tablets
blce.00	FELENDIL XL 10mg m/r tablets
blcd.00	FELENDIL XL 5mg m/r tablets
blcc.00	FELOGEN XL 5mg m/r tablets
blcb.00	FELOTENS XL 10mg m/r tablets
blca.00	FELOTENS XL 5mg m/r tablets
blc9.00	CABREN 10mg m/r tablets
blc8.00	CABREN 5mg m/r tablets
blc7.00	CABREN 2.5mg m/r tablets
blc6.00	PLENDIL 2.5mg m/r tablets
blc4.00	PLENDIL 10mg m/r tablets
blc3.00	PLENDIL 5mg m/r tablets
blb..00	AMLODIPINE
blb8.00	AMLODIPINE 2mg/mL oral solution
blb7.00	AMLODIPINE 1mg/mL oral solution
blb2.00	AMLODIPINE 10mg tablets
blb1.00	AMLODIPINE 5mg tablets
blb6.00	*AMLOSTIN 10mg tablets
blb5.00	*AMLOSTIN 5mg tablets
blb4.00	ISTIN 10mg tablets
blb3.00	ISTIN 5mg tablets
blh..00	LERCANIDIPINE HYDROCHLORIDE
blh3.00	LERCANIDIPINE HYDROCHLORIDE 20mg tablets
blh1.00	LERCANIDIPINE HYDROCHLORIDE 10mg tablets
blh4.00	ZANIDIP 20mg tablets
blh2.00	ZANIDIP 10mg tablets
dt1..00	NIMODIPINE
dt15.00	NIMODIPINE 50mg/250mL intravenous infusion
dt13.00	NIMODIPINE 30mg tablets
dt11.00	NIMODIPINE 200microgram/mL intravenous infusion 50mL
dt16.00	NIMOTOP IV 50mg/250mL infusion
dt14.00	NIMOTOP 30mg tablets
dt12.00	NIMOTOP 200micrograms/mL intravenous infusion 50mL
dhbe.00	*PARMID 10mg/2mL injection
dhbd.00	*PARMID 5mg/5mL elixir
dhbc.00	*PARMID 10mg tablets
