Date,IncidenceOfCopd,PrevalenceOfCopd
2016-09-29,2,8
2016-09-30,2,4
2016-10-01,0,1
2016-10-02,0,0
2016-10-03,3,12
2016-10-04,1,11
2016-10-05,2,11
2016-10-06,2,6
2016-10-07,0,4
2016-10-08,0,0
2016-10-09,0,0
2016-10-10,1,6
2016-10-11,0,11
2016-10-12,3,14
2016-10-13,4,6
2016-10-14,4,8
2016-10-15,1,2
2016-10-16,0,0
2016-10-17,0,8
2016-10-18,3,10
2016-10-19,1,7
2016-10-20,3,9
2016-10-21,4,8
2016-10-22,0,2
2016-10-23,0,0
2016-10-24,1,10
2016-10-25,1,13
2016-10-26,2,9
2016-10-27,5,13
2016-10-28,2,7
2016-10-29,0,0
2016-10-30,0,0
2016-10-31,3,13
2016-11-01,4,19
2016-11-02,3,11
2016-11-03,3,8
2016-11-04,3,5
2016-11-05,0,0
2016-11-06,0,0
2016-11-07,5,13
2016-11-08,4,15
2016-11-09,3,5
2016-11-10,1,7
2016-11-11,4,11
2016-11-12,0,0
2016-11-13,0,0
2016-11-14,3,9
2016-11-15,1,16
2016-11-16,1,9
2016-11-17,1,11
2016-11-18,3,10
2016-11-19,0,0
2016-11-20,1,2
2016-11-21,5,13
2016-11-22,1,9
2016-11-23,2,9
2016-11-24,3,11
2016-11-25,0,7
2016-11-26,0,2
2016-11-27,0,0
2016-11-28,3,11
2016-11-29,1,13
2016-11-30,1,13
2016-12-01,1,7
2016-12-02,1,7
2016-12-03,0,0
2016-12-04,0,1
2016-12-05,4,11
2016-12-06,2,18
2016-12-07,4,13
2016-12-08,2,13
2016-12-09,5,12
2016-12-10,0,0
2016-12-11,0,0
2016-12-12,0,14
2016-12-13,3,18
2016-12-14,0,6
2016-12-15,3,8
2016-12-16,2,5
2016-12-17,0,0
2016-12-18,0,0
2016-12-19,1,11
2016-12-20,2,11
2016-12-21,0,12
2016-12-22,3,8
2016-12-23,2,2
2016-12-24,0,0
2016-12-25,0,0
2016-12-26,0,1
2016-12-27,0,0
2016-12-28,1,10
2016-12-29,4,9
2016-12-30,5,6
2016-12-31,0,0
2017-01-01,3,8
2017-01-02,0,0
2017-01-03,1,13
2017-01-04,3,16
2017-01-05,2,9
2017-01-06,0,6
2017-01-07,1,1
2017-01-08,0,0
2017-01-09,4,11
2017-01-10,2,13
2017-01-11,3,16
2017-01-12,1,9
2017-01-13,1,5
2017-01-14,0,1
2017-01-15,0,0
2017-01-16,3,21
2017-01-17,1,8
2017-01-18,4,15
2017-01-19,3,13
2017-01-20,0,4
2017-01-21,0,0
2017-01-22,0,1
2017-01-23,2,10
2017-01-24,0,6
2017-01-25,1,14
2017-01-26,3,8
2017-01-27,1,3
2017-01-28,0,1
2017-01-29,0,0
2017-01-30,2,11
2017-01-31,1,9
2017-02-01,3,22
2017-02-02,1,14
2017-02-03,1,7
2017-02-04,0,0
2017-02-05,0,0
2017-02-06,2,14
2017-02-07,1,13
2017-02-08,2,13
2017-02-09,2,8
2017-02-10,1,8
2017-02-11,0,1
2017-02-12,0,0
2017-02-13,1,9
2017-02-14,3,16
2017-02-15,2,6
2017-02-16,2,8
2017-02-17,2,8
2017-02-18,0,0
2017-02-19,0,0
2017-02-20,1,11
2017-02-21,3,16
2017-02-22,2,8
2017-02-23,3,13
2017-02-24,1,4
2017-02-25,0,0
2017-02-26,0,0
2017-02-27,4,10
2017-02-28,2,14
2017-03-01,7,17
2017-03-02,0,5
2017-03-03,1,1
2017-03-04,1,1
2017-03-05,1,1
2017-03-06,2,11
2017-03-07,1,12
2017-03-08,2,11
2017-03-09,2,11
2017-03-10,1,12
2017-03-11,0,1
2017-03-12,0,0
2017-03-13,1,12
2017-03-14,3,10
2017-03-15,1,14
2017-03-16,3,12
2017-03-17,3,7
2017-03-18,0,1
2017-03-19,0,0
2017-03-20,6,16
2017-03-21,3,8
2017-03-22,3,11
2017-03-23,3,14
2017-03-24,1,7
2017-03-25,0,1
2017-03-26,0,0
2017-03-27,0,7
2017-03-28,0,9
2017-03-29,1,9
2017-03-30,6,14
2017-03-31,2,4
2017-04-01,0,2
2017-04-02,1,1
2017-04-03,2,9
2017-04-04,5,14
2017-04-05,3,13
2017-04-06,2,9
2017-04-07,3,9
2017-04-08,0,0
2017-04-09,0,0
2017-04-10,1,10
2017-04-11,2,6
2017-04-12,4,10
2017-04-13,1,9
2017-04-14,0,0
2017-04-15,0,0
2017-04-16,0,1
2017-04-17,0,0
2017-04-18,0,6
2017-04-19,2,11
2017-04-20,1,6
2017-04-21,3,4
2017-04-22,0,0
2017-04-23,0,0
2017-04-24,4,10
2017-04-25,4,15
2017-04-26,2,11
2017-04-27,3,7
2017-04-28,3,10
2017-04-29,0,2
2017-04-30,0,0
2017-05-01,1,2
2017-05-02,4,12
2017-05-03,5,17
2017-05-04,2,18
2017-05-05,1,9
2017-05-06,0,0
2017-05-07,0,0
2017-05-08,3,15
2017-05-09,2,10
2017-05-10,3,15
2017-05-11,1,10
2017-05-12,3,9
2017-05-13,0,0
2017-05-14,0,0
2017-05-15,1,4
2017-05-16,1,12
2017-05-17,1,6
2017-05-18,1,6
2017-05-19,0,3
2017-05-20,0,0
2017-05-21,0,0
2017-05-22,2,11
2017-05-23,1,7
2017-05-24,2,6
2017-05-25,5,8
2017-05-26,1,10
2017-05-27,0,0
2017-05-28,0,0
2017-05-29,0,0
2017-05-30,3,23
2017-05-31,0,11
2017-06-01,1,12
2017-06-02,0,2
2017-06-03,0,0
2017-06-04,0,0
2017-06-05,3,13
2017-06-06,5,15
2017-06-07,3,14
2017-06-08,1,5
2017-06-09,0,6
2017-06-10,0,1
2017-06-11,0,0
2017-06-12,1,12
2017-06-13,0,6
2017-06-14,1,12
2017-06-15,2,8
2017-06-16,0,3
2017-06-17,0,0
2017-06-18,0,0
2017-06-19,1,8
2017-06-20,3,10
2017-06-21,1,7
2017-06-22,1,10
2017-06-23,5,8
2017-06-24,0,0
2017-06-25,0,0
2017-06-26,0,12
2017-06-27,3,22
2017-06-28,2,7
2017-06-29,1,7
2017-06-30,0,5
2017-07-01,0,1
2017-07-02,0,0
2017-07-03,1,9
2017-07-04,1,6
2017-07-05,2,14
2017-07-06,2,10
2017-07-07,0,8
2017-07-08,1,1
2017-07-09,0,0
2017-07-10,0,18
2017-07-11,1,10
2017-07-12,3,8
2017-07-13,2,6
2017-07-14,2,5
2017-07-15,0,1
2017-07-16,0,0
2017-07-17,2,18
2017-07-18,1,11
2017-07-19,3,7
2017-07-20,3,15
2017-07-21,2,7
2017-07-22,0,0
2017-07-23,0,0
2017-07-24,3,11
2017-07-25,3,13
2017-07-26,3,8
2017-07-27,1,5
2017-07-28,1,7
2017-07-29,0,0
2017-07-30,1,1
2017-07-31,2,13
2017-08-01,9,21
2017-08-02,2,10
2017-08-03,3,10
2017-08-04,0,6
2017-08-05,0,0
2017-08-06,1,1
2017-08-07,3,15
2017-08-08,2,15
2017-08-09,4,12
2017-08-10,3,8
2017-08-11,2,7
2017-08-12,0,0
2017-08-13,0,0
2017-08-14,0,11
2017-08-15,1,11
2017-08-16,0,9
2017-08-17,3,9
2017-08-18,3,7
2017-08-19,1,1
2017-08-20,0,0
2017-08-21,1,9
2017-08-22,4,13
2017-08-23,1,7
2017-08-24,3,13
2017-08-25,0,5
2017-08-26,0,0
2017-08-27,0,0
2017-08-28,0,0
2017-08-29,1,13
2017-08-30,4,12
2017-08-31,4,15
2017-09-01,5,20
2017-09-02,0,0
2017-09-03,1,1
2017-09-04,6,18
2017-09-05,0,11
2017-09-06,4,12
2017-09-07,4,14
2017-09-08,3,8
2017-09-09,0,0
2017-09-10,0,1
2017-09-11,3,13
2017-09-12,0,7
2017-09-13,2,15
2017-09-14,2,9
2017-09-15,1,7
2017-09-16,0,0
2017-09-17,1,2
2017-09-18,1,11
2017-09-19,1,10
2017-09-20,2,10
2017-09-21,1,24
2017-09-22,5,13
2017-09-23,0,0
2017-09-24,0,1
2017-09-25,1,13
2017-09-26,1,13
2017-09-27,3,18
2017-09-28,0,8
2017-09-29,1,11
2017-09-30,0,1
2017-10-01,0,0
2017-10-02,3,14
2017-10-03,2,13
2017-10-04,2,6
2017-10-05,1,10
2017-10-06,1,7
2017-10-07,0,1
2017-10-08,0,0
2017-10-09,1,8
2017-10-10,2,14
2017-10-11,5,16
2017-10-12,3,15
2017-10-13,3,9
2017-10-14,1,3
2017-10-15,0,1
2017-10-16,3,12
2017-10-17,3,14
2017-10-18,3,12
2017-10-19,0,10
2017-10-20,0,8
2017-10-21,0,0
2017-10-22,0,0
2017-10-23,1,15
2017-10-24,3,17
2017-10-25,1,7
2017-10-26,2,11
2017-10-27,2,8
2017-10-28,0,2
2017-10-29,0,0
2017-10-30,5,22
2017-10-31,0,10
2017-11-01,2,16
2017-11-02,1,12
2017-11-03,3,12
2017-11-04,0,1
2017-11-05,0,0
2017-11-06,1,9
2017-11-07,2,8
2017-11-08,1,8
2017-11-09,3,9
2017-11-10,2,8
2017-11-11,0,0
2017-11-12,0,0
2017-11-13,2,9
2017-11-14,3,15
2017-11-15,3,10
2017-11-16,1,13
2017-11-17,0,12
2017-11-18,0,0
2017-11-19,0,0
2017-11-20,3,12
2017-11-21,2,10
2017-11-22,0,12
2017-11-23,2,8
2017-11-24,1,5
2017-11-25,0,0
2017-11-26,0,1
2017-11-27,4,19
2017-11-28,3,14
2017-11-29,1,18
2017-11-30,2,11
2017-12-01,0,7
2017-12-02,0,2
2017-12-03,0,0
2017-12-04,1,10
2017-12-05,4,12
2017-12-06,4,13
2017-12-07,2,8
2017-12-08,2,8
2017-12-09,0,0
2017-12-10,0,0
2017-12-11,2,13
2017-12-12,4,10
2017-12-13,1,12
2017-12-14,1,14
2017-12-15,3,10
2017-12-16,0,1
2017-12-17,0,0
2017-12-18,3,10
2017-12-19,4,16
2017-12-20,1,9
2017-12-21,2,7
2017-12-22,2,8
2017-12-23,0,1
2017-12-24,0,0
2017-12-25,0,0
2017-12-26,0,0
2017-12-27,0,10
2017-12-28,1,11
2017-12-29,0,2
2017-12-30,0,0
2017-12-31,0,2
2018-01-01,2,3
2018-01-02,1,14
2018-01-03,2,8
2018-01-04,3,16
2018-01-05,2,11
2018-01-06,0,1
2018-01-07,1,1
2018-01-08,0,12
2018-01-09,1,18
2018-01-10,3,12
2018-01-11,2,17
2018-01-12,0,3
2018-01-13,0,1
2018-01-14,0,0
2018-01-15,0,10
2018-01-16,4,15
2018-01-17,3,8
2018-01-18,3,12
2018-01-19,4,11
2018-01-20,0,0
2018-01-21,0,0
2018-01-22,3,19
2018-01-23,1,11
2018-01-24,1,13
2018-01-25,0,8
2018-01-26,2,4
2018-01-27,0,1
2018-01-28,0,0
2018-01-29,0,13
2018-01-30,0,7
2018-01-31,1,8
2018-02-01,4,12
2018-02-02,2,9
2018-02-03,0,0
2018-02-04,0,0
2018-02-05,5,12
2018-02-06,2,14
2018-02-07,1,11
2018-02-08,2,8
2018-02-09,0,3
2018-02-10,0,1
2018-02-11,1,1
2018-02-12,2,13
2018-02-13,0,11
2018-02-14,2,11
2018-02-15,2,8
2018-02-16,3,7
2018-02-17,0,0
2018-02-18,0,0
2018-02-19,1,12
2018-02-20,2,8
2018-02-21,3,13
2018-02-22,1,5
2018-02-23,2,8
2018-02-24,1,2
2018-02-25,0,0
2018-02-26,5,13
2018-02-27,1,9
2018-02-28,1,10
2018-03-01,2,7
2018-03-02,1,5
2018-03-03,0,2
2018-03-04,0,0
2018-03-05,2,10
2018-03-06,1,9
2018-03-07,1,10
2018-03-08,1,12
2018-03-09,2,5
2018-03-10,0,0
2018-03-11,0,0
2018-03-12,3,11
2018-03-13,1,11
2018-03-14,1,8
2018-03-15,3,6
2018-03-16,0,11
2018-03-17,0,1
2018-03-18,1,1
2018-03-19,0,13
2018-03-20,3,9
2018-03-21,0,7
2018-03-22,2,9
2018-03-23,0,9
2018-03-24,0,0
2018-03-25,0,1
2018-03-26,1,7
2018-03-27,1,9
2018-03-28,3,15
2018-03-29,2,16
2018-03-30,0,0
2018-03-31,1,2
2018-04-01,0,0
2018-04-02,0,1
2018-04-03,2,8
2018-04-04,0,12
2018-04-05,2,13
2018-04-06,0,5
2018-04-07,0,0
2018-04-08,0,2
2018-04-09,2,12
2018-04-10,2,19
2018-04-11,4,9
2018-04-12,1,12
2018-04-13,1,11
2018-04-14,0,1
2018-04-15,0,0
2018-04-16,4,17
2018-04-17,3,8
2018-04-18,0,6
2018-04-19,3,12
2018-04-20,0,7
2018-04-21,1,1
2018-04-22,0,0
2018-04-23,1,12
2018-04-24,1,5
2018-04-25,4,8
2018-04-26,0,8
2018-04-27,0,9
2018-04-28,0,0
2018-04-29,0,0
2018-04-30,5,16
2018-05-01,3,13
2018-05-02,3,15
2018-05-03,2,9
2018-05-04,3,10
2018-05-05,0,0
2018-05-06,0,0
2018-05-07,0,0
2018-05-08,1,10
2018-05-09,3,13
2018-05-10,2,9
2018-05-11,2,7
2018-05-12,0,0
2018-05-13,0,1
2018-05-14,3,15
2018-05-15,5,15
2018-05-16,1,14
2018-05-17,3,16
2018-05-18,2,7
2018-05-19,0,0
2018-05-20,0,0
2018-05-21,0,5
2018-05-22,2,5
2018-05-23,5,12
2018-05-24,4,11
2018-05-25,0,2
2018-05-26,1,1
2018-05-27,0,0
2018-05-28,0,0
2018-05-29,3,5
2018-05-30,3,10
2018-05-31,2,15
2018-06-01,3,16
2018-06-02,0,0
2018-06-03,0,0
2018-06-04,2,17
2018-06-05,3,8
2018-06-06,2,12
2018-06-07,3,16
2018-06-08,0,9
2018-06-09,0,1
2018-06-10,0,0
2018-06-11,1,9
2018-06-12,5,22
2018-06-13,4,15
2018-06-14,3,21
2018-06-15,2,7
2018-06-16,0,0
2018-06-17,0,0
2018-06-18,4,16
2018-06-19,0,12
2018-06-20,1,10
2018-06-21,1,16
