Date,IncidenceOfAsthma,PrevalenceOfAsthma
2018-06-21,3,17
2018-06-22,2,13
2018-06-23,0,0
2018-06-24,0,1
2018-06-25,6,21
2018-06-26,4,17
2018-06-27,3,19
2018-06-28,1,15
2018-06-29,3,14
2018-06-30,0,1
2018-07-01,0,1
2018-07-02,3,23
2018-07-03,2,14
2018-07-04,2,20
2018-07-05,6,16
2018-07-06,0,8
2018-07-07,0,0
2018-07-08,0,0
2018-07-09,2,17
2018-07-10,2,10
2018-07-11,2,19
2018-07-12,3,15
2018-07-13,1,11
2018-07-14,0,0
2018-07-15,0,0
2018-07-16,6,37
2018-07-17,0,22
2018-07-18,5,20
2018-07-19,4,19
2018-07-20,3,13
2018-07-21,0,0
2018-07-22,0,0
2018-07-23,1,19
2018-07-24,3,13
2018-07-25,1,16
2018-07-26,2,15
2018-07-27,0,7
2018-07-28,0,0
2018-07-29,0,0
2018-07-30,4,22
2018-07-31,0,13
2018-08-01,2,18
2018-08-02,4,16
2018-08-03,2,19
2018-08-04,0,0
2018-08-05,0,0
2018-08-06,1,21
2018-08-07,3,12
2018-08-08,1,16
2018-08-09,2,13
2018-08-10,3,10
2018-08-11,0,1
2018-08-12,0,0
2018-08-13,2,20
2018-08-14,7,57
2018-08-15,3,21
2018-08-16,1,9
2018-08-17,2,9
2018-08-18,0,0
2018-08-19,0,0
2018-08-20,0,17
2018-08-21,1,13
2018-08-22,0,12
2018-08-23,4,19
2018-08-24,4,18
2018-08-25,0,0
2018-08-26,0,0
2018-08-27,0,1
2018-08-28,1,15
2018-08-29,2,21
2018-08-30,2,13
2018-08-31,3,7
2018-09-01,0,1
2018-09-02,0,0
2018-09-03,2,16
2018-09-04,5,17
2018-09-05,4,13
2018-09-06,4,16
2018-09-07,2,10
2018-09-08,0,0
2018-09-09,0,0
2018-09-10,3,22
2018-09-11,2,17
2018-09-12,2,19
2018-09-13,1,14
2018-09-14,3,12
2018-09-15,0,0
2018-09-16,0,1
2018-09-17,5,8
2018-09-18,2,10
2018-09-19,1,12
2018-09-20,4,19
2018-09-21,4,14
2018-09-22,0,2
2018-09-23,0,0
2018-09-24,0,25
2018-09-25,3,27
2018-09-26,1,13
2018-09-27,2,25
2018-09-28,1,17
2018-09-29,0,0
2018-09-30,0,0
2018-10-01,6,46
2018-10-02,3,43
2018-10-03,1,14
2018-10-04,3,39
2018-10-05,2,23
2018-10-06,0,1
2018-10-07,0,1
2018-10-08,4,33
2018-10-09,4,19
2018-10-10,3,18
2018-10-11,0,28
2018-10-12,4,29
2018-10-13,0,1
2018-10-14,0,0
2018-10-15,6,20
2018-10-16,3,18
2018-10-17,2,28
2018-10-18,3,28
2018-10-19,2,22
2018-10-20,0,2
2018-10-21,0,0
2018-10-22,1,21
2018-10-23,2,20
2018-10-24,8,18
2018-10-25,4,24
2018-10-26,2,21
2018-10-27,0,1
2018-10-28,0,1
2018-10-29,4,32
2018-10-30,1,27
2018-10-31,4,22
2018-11-01,6,23
2018-11-02,1,21
2018-11-03,0,0
2018-11-04,0,0
2018-11-05,4,20
2018-11-06,1,25
2018-11-07,3,42
2018-11-08,0,22
2018-11-09,4,18
2018-11-10,1,2
2018-11-11,0,0
2018-11-12,4,37
2018-11-13,4,21
2018-11-14,0,13
2018-11-15,1,15
2018-11-16,6,18
2018-11-17,0,1
2018-11-18,3,6
2018-11-19,3,22
2018-11-20,8,33
2018-11-21,5,59
2018-11-22,4,40
2018-11-23,1,29
2018-11-24,0,0
2018-11-25,1,1
2018-11-26,4,26
2018-11-27,2,20
2018-11-28,6,24
2018-11-29,4,27
2018-11-30,2,41
2018-12-01,1,1
2018-12-02,0,0
2018-12-03,4,24
2018-12-04,3,25
2018-12-05,8,31
2018-12-06,6,21
2018-12-07,8,26
2018-12-08,0,1
2018-12-09,1,1
2018-12-10,3,32
2018-12-11,3,30
2018-12-12,3,39
2018-12-13,4,63
2018-12-14,2,16
2018-12-15,0,2
2018-12-16,0,0
2018-12-17,4,61
2018-12-18,3,43
2018-12-19,2,34
2018-12-20,3,45
2018-12-21,3,64
2018-12-22,1,4
2018-12-23,0,2
2018-12-24,2,15
2018-12-25,0,0
2018-12-26,1,2
2018-12-27,1,21
2018-12-28,2,22
2018-12-29,0,1
2018-12-30,0,1
2018-12-31,0,20
2019-01-01,1,3
2019-01-02,6,34
2019-01-03,4,68
2019-01-04,0,28
2019-01-05,0,1
2019-01-06,0,1
2019-01-07,4,38
2019-01-08,3,37
2019-01-09,4,59
2019-01-10,5,52
2019-01-11,3,29
2019-01-12,1,1
2019-01-13,0,0
2019-01-14,0,30
2019-01-15,7,41
2019-01-16,2,22
2019-01-17,1,33
2019-01-18,2,44
2019-01-19,0,1
2019-01-20,0,0
2019-01-21,4,30
2019-01-22,5,28
2019-01-23,1,22
2019-01-24,5,18
2019-01-25,1,22
2019-01-26,0,2
2019-01-27,0,2
2019-01-28,0,28
2019-01-29,3,25
2019-01-30,1,16
2019-01-31,4,30
2019-02-01,2,21
2019-02-02,0,2
2019-02-03,0,1
2019-02-04,1,34
2019-02-05,3,22
2019-02-06,4,24
2019-02-07,3,26
2019-02-08,3,26
2019-02-09,1,1
2019-02-10,0,0
2019-02-11,4,28
2019-02-12,2,22
2019-02-13,3,23
2019-02-14,2,23
2019-02-15,6,20
2019-02-16,0,0
2019-02-17,1,1
2019-02-18,2,31
2019-02-19,3,22
2019-02-20,5,36
2019-02-21,5,17
2019-02-22,5,27
2019-02-23,0,0
2019-02-24,0,0
2019-02-25,1,19
2019-02-26,2,18
2019-02-27,3,34
2019-02-28,1,50
2019-03-01,0,26
2019-03-02,1,1
2019-03-03,0,2
2019-03-04,2,34
2019-03-05,2,23
2019-03-06,4,23
2019-03-07,2,30
2019-03-08,1,24
2019-03-09,0,0
2019-03-10,0,0
2019-03-11,4,38
2019-03-12,2,20
2019-03-13,3,20
2019-03-14,6,22
2019-03-15,2,20
2019-03-16,0,1
2019-03-17,1,2
2019-03-18,6,31
2019-03-19,3,22
2019-03-20,2,24
2019-03-21,4,15
2019-03-22,3,19
2019-03-23,0,0
2019-03-24,0,1
2019-03-25,3,29
2019-03-26,5,25
2019-03-27,6,43
2019-03-28,4,27
2019-03-29,1,16
2019-03-30,0,2
2019-03-31,0,0
2019-04-01,4,26
2019-04-02,1,26
2019-04-03,4,45
2019-04-04,1,26
2019-04-05,4,22
2019-04-06,0,0
2019-04-07,1,2
2019-04-08,5,23
2019-04-09,5,31
2019-04-10,9,55
2019-04-11,3,24
2019-04-12,0,18
2019-04-13,0,0
2019-04-14,0,1
2019-04-15,1,26
2019-04-16,2,16
2019-04-17,1,19
2019-04-18,4,23
2019-04-19,0,0
2019-04-20,0,0
2019-04-21,0,1
2019-04-22,0,1
2019-04-23,6,22
2019-04-24,4,23
2019-04-25,4,21
2019-04-26,2,26
2019-04-27,0,0
2019-04-28,0,0
2019-04-29,2,34
2019-04-30,5,27
2019-05-01,3,22
2019-05-02,4,14
2019-05-03,0,18
2019-05-04,0,0
2019-05-05,0,1
2019-05-06,0,2
2019-05-07,5,21
2019-05-08,3,17
2019-05-09,3,27
2019-05-10,7,22
2019-05-11,0,0
2019-05-12,0,1
2019-05-13,7,27
2019-05-14,6,25
2019-05-15,3,19
2019-05-16,7,32
2019-05-17,1,17
2019-05-18,0,2
2019-05-19,0,0
2019-05-20,3,36
2019-05-21,3,64
2019-05-22,4,19
2019-05-23,2,15
2019-05-24,2,11
2019-05-25,0,0
2019-05-26,1,3
2019-05-27,0,0
2019-05-28,0,12
2019-05-29,3,14
2019-05-30,1,18
2019-05-31,0,15
2019-06-01,2,2
2019-06-02,0,0
2019-06-03,5,18
2019-06-04,4,20
2019-06-05,5,20
2019-06-06,3,22
2019-06-07,2,18
2019-06-08,0,2
2019-06-09,0,0
2019-06-10,9,32
2019-06-11,1,16
2019-06-12,7,39
2019-06-13,2,14
2019-06-14,1,15
2019-06-15,1,1
2019-06-16,0,0
2019-06-17,5,32
2019-06-18,3,21
2019-06-19,2,74
2019-06-20,2,75
2019-06-21,1,26
2019-06-22,0,0
2019-06-23,0,0
2019-06-24,4,40
2019-06-25,9,27
2019-06-26,3,19
2019-06-27,4,37
2019-06-28,4,28
2019-06-29,0,1
2019-06-30,0,1
2019-07-01,4,27
2019-07-02,5,28
2019-07-03,4,24
2019-07-04,4,16
2019-07-05,5,76
2019-07-06,0,1
2019-07-07,0,0
2019-07-08,2,98
2019-07-09,4,27
2019-07-10,7,32
2019-07-11,5,21
2019-07-12,5,19
2019-07-13,0,1
2019-07-14,0,0
2019-07-15,6,27
2019-07-16,4,14
2019-07-17,6,29
2019-07-18,2,23
2019-07-19,1,15
2019-07-20,0,0
2019-07-21,0,1
2019-07-22,4,26
2019-07-23,4,20
2019-07-24,6,22
2019-07-25,2,22
2019-07-26,3,14
2019-07-27,0,1
2019-07-28,0,1
2019-07-29,1,30
2019-07-30,4,17
2019-07-31,8,33
2019-08-01,5,31
2019-08-02,5,22
2019-08-03,0,2
2019-08-04,0,3
2019-08-05,4,19
2019-08-06,3,16
2019-08-07,1,16
2019-08-08,3,24
2019-08-09,4,16
2019-08-10,0,0
2019-08-11,0,1
2019-08-12,6,34
2019-08-13,5,27
2019-08-14,4,31
2019-08-15,1,77
2019-08-16,3,74
2019-08-17,0,0
2019-08-18,0,0
2019-08-19,4,31
2019-08-20,7,32
2019-08-21,2,21
2019-08-22,2,18
2019-08-23,2,23
2019-08-24,0,2
2019-08-25,0,0
2019-08-26,0,0
2019-08-27,2,18
2019-08-28,5,24
2019-08-29,3,27
2019-08-30,4,18
2019-08-31,1,1
2019-09-01,2,3
2019-09-02,5,74
2019-09-03,5,47
2019-09-04,0,39
2019-09-05,3,22
2019-09-06,3,15
2019-09-07,0,0
2019-09-08,0,0
2019-09-09,4,25
2019-09-10,1,20
2019-09-11,2,18
2019-09-12,4,12
2019-09-13,3,52
2019-09-14,2,2
2019-09-15,1,1
2019-09-16,4,56
2019-09-17,6,29
2019-09-18,3,25
2019-09-19,2,20
2019-09-20,4,18
2019-09-21,1,1
2019-09-22,0,0
2019-09-23,5,40
2019-09-24,3,41
2019-09-25,6,36
2019-09-26,5,30
2019-09-27,5,16
2019-09-28,0,2
2019-09-29,0,1
2019-09-30,2,39
2019-10-01,6,36
2019-10-02,5,24
2019-10-03,4,37
2019-10-04,7,27
2019-10-05,0,0
2019-10-06,0,0
2019-10-07,7,31
2019-10-08,4,32
2019-10-09,4,36
2019-10-10,4,23
2019-10-11,2,24
2019-10-12,0,0
2019-10-13,0,2
2019-10-14,8,92
2019-10-15,3,24
2019-10-16,6,28
2019-10-17,3,27
2019-10-18,1,18
2019-10-19,0,0
2019-10-20,0,0
2019-10-21,2,26
2019-10-22,3,17
2019-10-23,3,21
2019-10-24,3,27
2019-10-25,5,22
2019-10-26,0,1
2019-10-27,0,1
2019-10-28,2,24
2019-10-29,3,32
2019-10-30,4,29
2019-10-31,2,21
2019-11-01,2,24
2019-11-02,0,4
2019-11-03,0,1
2019-11-04,3,30
2019-11-05,2,14
2019-11-06,6,27
2019-11-07,3,24
2019-11-08,4,30
2019-11-09,0,1
2019-11-10,0,1
2019-11-11,2,35
2019-11-12,2,17
2019-11-13,3,35
2019-11-14,2,32
2019-11-15,4,32
2019-11-16,0,2
2019-11-17,0,2
2019-11-18,2,39
2019-11-19,7,78
2019-11-20,7,23
2019-11-21,4,23
2019-11-22,1,22
2019-11-23,0,0
2019-11-24,0,0
2019-11-25,5,41
2019-11-26,4,34
2019-11-27,3,26
2019-11-28,6,32
2019-11-29,4,22
2019-11-30,2,3
2019-12-01,1,1
2019-12-02,3,28
2019-12-03,1,10
2019-12-04,3,40
2019-12-05,4,28
2019-12-06,1,22
2019-12-07,0,1
2019-12-08,0,3
2019-12-09,6,41
2019-12-10,5,33
2019-12-11,2,30
2019-12-12,5,32
2019-12-13,1,17
2019-12-14,0,1
2019-12-15,0,0
2019-12-16,3,36
2019-12-17,3,35
2019-12-18,5,37
2019-12-19,5,45
2019-12-20,4,38
2019-12-21,0,2
2019-12-22,0,1
2019-12-23,5,32
2019-12-24,2,20
2019-12-25,0,2
2019-12-26,0,1
2019-12-27,0,22
2019-12-28,0,2
2019-12-29,0,0
2019-12-30,1,21
2019-12-31,3,24
2020-01-01,1,1
2020-01-02,8,39
2020-01-03,4,36
2020-01-04,0,1
2020-01-05,0,4
2020-01-06,6,43
2020-01-07,6,54
2020-01-08,1,66
2020-01-09,5,38
2020-01-10,7,36
2020-01-11,0,1
2020-01-12,0,1
2020-01-13,2,33
2020-01-14,4,52
2020-01-15,5,23
2020-01-16,6,35
2020-01-17,3,26
2020-01-18,0,0
2020-01-19,0,1
2020-01-20,3,28
2020-01-21,3,26
2020-01-22,0,18
2020-01-23,4,19
2020-01-24,2,20
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,3,38
2020-01-28,1,27
2020-01-29,7,26
2020-01-30,1,31
2020-01-31,4,21
2020-02-01,0,1
2020-02-02,0,1
2020-02-03,4,30
2020-02-04,3,30
2020-02-05,3,20
2020-02-06,4,26
2020-02-07,5,24
2020-02-08,0,0
2020-02-09,0,1
2020-02-10,3,47
2020-02-11,2,17
2020-02-12,3,23
2020-02-13,4,21
2020-02-14,2,20
2020-02-15,0,2
2020-02-16,0,0
2020-02-17,2,25
2020-02-18,3,26
2020-02-19,1,24
2020-02-20,4,24
2020-02-21,6,19
2020-02-22,0,0
2020-02-23,0,1
2020-02-24,4,38
2020-02-25,7,33
2020-02-26,0,31
2020-02-27,3,41
2020-02-28,3,23
2020-02-29,0,1
2020-03-01,1,2
2020-03-02,1,30
2020-03-03,2,22
2020-03-04,2,41
2020-03-05,5,32
2020-03-06,5,21
2020-03-07,0,1
2020-03-08,0,0
2020-03-09,7,44
2020-03-10,1,28
2020-03-11,4,22
2020-03-12,1,22
2020-03-13,0,14
2020-03-14,0,1
2020-03-15,1,2
2020-03-16,4,42
2020-03-17,3,28
2020-03-18,6,34
2020-03-19,2,26
2020-03-20,1,25
2020-03-21,0,1
2020-03-22,0,0
2020-03-23,4,42
2020-03-24,6,31
2020-03-25,1,28
2020-03-26,1,26
2020-03-27,3,17
2020-03-28,1,3
2020-03-29,0,0
2020-03-30,2,28
2020-03-31,3,22
2020-04-01,2,13
2020-04-02,3,22
2020-04-03,0,17
2020-04-04,0,1
2020-04-05,0,0
2020-04-06,4,29
2020-04-07,1,17
2020-04-08,0,23
2020-04-09,4,18
2020-04-10,2,7
2020-04-11,0,1
2020-04-12,0,0
2020-04-13,0,8
2020-04-14,2,24
2020-04-15,1,15
2020-04-16,6,24
2020-04-17,1,24
2020-04-18,0,1
2020-04-19,0,0
2020-04-20,1,23
2020-04-21,3,26
2020-04-22,2,39
2020-04-23,1,21
2020-04-24,1,24
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,2,37
2020-04-28,2,29
2020-04-29,1,17
2020-04-30,0,12
2020-05-01,3,27
2020-05-02,0,0
2020-05-03,0,0
2020-05-04,1,30
2020-05-05,2,30
2020-05-06,0,16
2020-05-07,0,11
2020-05-08,0,7
2020-05-09,0,0
2020-05-10,0,0
2020-05-11,2,19
2020-05-12,0,14
2020-05-13,0,17
2020-05-14,3,17
2020-05-15,0,13
2020-05-16,0,0
2020-05-17,0,0
2020-05-18,3,24
2020-05-19,1,17
2020-05-20,2,15
2020-05-21,0,13
2020-05-22,0,11
2020-05-23,0,0
2020-05-24,0,0
2020-05-25,0,0
2020-05-26,0,7
2020-05-27,0,0
2020-05-28,0,0
2020-05-29,0,0
2020-05-30,0,0
2020-05-31,0,0
2020-06-01,0,0
2020-06-02,0,0
