Date,IncidenceOfBenzodiaepines,PrevalenceOfBenzodiaepines
2018-06-20,6,91
2018-06-21,2,87
2018-06-22,2,86
2018-06-23,0,2
2018-06-24,0,0
2018-06-25,5,75
2018-06-26,1,108
2018-06-27,2,105
2018-06-28,5,83
2018-06-29,1,73
2018-06-30,0,2
2018-07-01,0,0
2018-07-02,1,91
2018-07-03,2,97
2018-07-04,2,89
2018-07-05,2,87
2018-07-06,2,71
2018-07-07,0,3
2018-07-08,0,0
2018-07-09,7,93
2018-07-10,3,91
2018-07-11,1,86
2018-07-12,4,77
2018-07-13,2,63
2018-07-14,0,2
2018-07-15,0,4
2018-07-16,4,95
2018-07-17,0,83
2018-07-18,3,90
2018-07-19,2,72
2018-07-20,1,58
2018-07-21,0,1
2018-07-22,0,0
2018-07-23,4,94
2018-07-24,7,102
2018-07-25,6,101
2018-07-26,1,79
2018-07-27,5,65
2018-07-28,0,3
2018-07-29,0,3
2018-07-30,6,94
2018-07-31,3,75
2018-08-01,5,98
2018-08-02,3,83
2018-08-03,2,73
2018-08-04,0,2
2018-08-05,0,2
2018-08-06,9,91
2018-08-07,4,78
2018-08-08,2,88
2018-08-09,4,85
2018-08-10,5,86
2018-08-11,0,1
2018-08-12,0,3
2018-08-13,5,90
2018-08-14,6,81
2018-08-15,1,78
2018-08-16,1,87
2018-08-17,2,65
2018-08-18,0,2
2018-08-19,0,1
2018-08-20,3,99
2018-08-21,3,79
2018-08-22,4,102
2018-08-23,4,86
2018-08-24,4,66
2018-08-25,0,1
2018-08-26,0,2
2018-08-27,0,39
2018-08-28,2,106
2018-08-29,2,89
2018-08-30,2,94
2018-08-31,4,72
2018-09-01,0,2
2018-09-02,0,2
2018-09-03,6,87
2018-09-04,2,83
2018-09-05,8,95
2018-09-06,3,90
2018-09-07,4,71
2018-09-08,0,3
2018-09-09,0,1
2018-09-10,7,95
2018-09-11,3,67
2018-09-12,3,86
2018-09-13,0,92
2018-09-14,3,82
2018-09-15,0,6
2018-09-16,0,1
2018-09-17,3,94
2018-09-18,6,87
2018-09-19,2,78
2018-09-20,5,89
2018-09-21,2,75
2018-09-22,0,2
2018-09-23,0,3
2018-09-24,4,92
2018-09-25,2,74
2018-09-26,4,78
2018-09-27,2,89
2018-09-28,4,76
2018-09-29,0,6
2018-09-30,0,1
2018-10-01,2,88
2018-10-02,1,71
2018-10-03,3,76
2018-10-04,3,86
2018-10-05,4,85
2018-10-06,0,3
2018-10-07,0,2
2018-10-08,4,81
2018-10-09,2,92
2018-10-10,3,98
2018-10-11,1,81
2018-10-12,5,92
2018-10-13,0,3
2018-10-14,0,1
2018-10-15,5,83
2018-10-16,4,81
2018-10-17,2,77
2018-10-18,2,79
2018-10-19,1,74
2018-10-20,0,2
2018-10-21,0,1
2018-10-22,1,82
2018-10-23,7,76
2018-10-24,1,81
2018-10-25,4,81
2018-10-26,4,78
2018-10-27,0,5
2018-10-28,0,1
2018-10-29,3,84
2018-10-30,5,79
2018-10-31,5,81
2018-11-01,2,69
2018-11-02,2,86
2018-11-03,0,5
2018-11-04,0,2
2018-11-05,6,92
2018-11-06,3,81
2018-11-07,1,92
2018-11-08,3,86
2018-11-09,2,73
2018-11-10,0,1
2018-11-11,0,2
2018-11-12,4,88
2018-11-13,4,81
2018-11-14,4,84
2018-11-15,3,81
2018-11-16,4,82
2018-11-17,0,2
2018-11-18,0,2
2018-11-19,6,86
2018-11-20,4,66
2018-11-21,4,79
2018-11-22,0,66
2018-11-23,1,73
2018-11-24,0,5
2018-11-25,0,2
2018-11-26,6,81
2018-11-27,4,79
2018-11-28,3,84
2018-11-29,5,85
2018-11-30,4,74
2018-12-01,0,2
2018-12-02,0,1
2018-12-03,3,93
2018-12-04,4,90
2018-12-05,2,90
2018-12-06,3,84
2018-12-07,4,71
2018-12-08,0,10
2018-12-09,0,2
2018-12-10,4,73
2018-12-11,4,85
2018-12-12,3,94
2018-12-13,2,76
2018-12-14,2,79
2018-12-15,0,3
2018-12-16,0,3
2018-12-17,5,99
2018-12-18,3,92
2018-12-19,3,92
2018-12-20,0,93
2018-12-21,4,95
2018-12-22,0,6
2018-12-23,0,2
2018-12-24,3,85
2018-12-25,0,28
2018-12-26,0,34
2018-12-27,6,84
2018-12-28,4,79
2018-12-29,0,2
2018-12-30,0,1
2018-12-31,2,92
2019-01-01,0,21
2019-01-02,7,95
2019-01-03,2,80
2019-01-04,4,86
2019-01-05,1,4
2019-01-06,0,1
2019-01-07,6,108
2019-01-08,1,81
2019-01-09,2,76
2019-01-10,2,71
2019-01-11,3,71
2019-01-12,0,2
2019-01-13,0,3
2019-01-14,1,99
2019-01-15,3,75
2019-01-16,3,77
2019-01-17,2,76
2019-01-18,4,76
2019-01-19,0,3
2019-01-20,0,1
2019-01-21,5,80
2019-01-22,4,78
2019-01-23,2,69
2019-01-24,6,82
2019-01-25,5,68
2019-01-26,0,2
2019-01-27,0,2
2019-01-28,2,102
2019-01-29,8,78
2019-01-30,2,79
2019-01-31,2,78
2019-02-01,3,72
2019-02-02,0,3
2019-02-03,0,2
2019-02-04,3,101
2019-02-05,2,63
2019-02-06,4,74
2019-02-07,6,86
2019-02-08,1,78
2019-02-09,0,5
2019-02-10,0,2
2019-02-11,2,99
2019-02-12,3,72
2019-02-13,1,82
2019-02-14,1,80
2019-02-15,5,82
2019-02-16,0,5
2019-02-17,0,2
2019-02-18,4,105
2019-02-19,2,76
2019-02-20,1,62
2019-02-21,1,63
2019-02-22,1,66
2019-02-23,0,6
2019-02-24,0,1
2019-02-25,4,108
2019-02-26,3,82
2019-02-27,4,87
2019-02-28,0,80
2019-03-01,3,79
2019-03-02,0,4
2019-03-03,0,1
2019-03-04,7,113
2019-03-05,3,66
2019-03-06,2,72
2019-03-07,2,75
2019-03-08,3,78
2019-03-09,0,3
2019-03-10,0,1
2019-03-11,4,101
2019-03-12,5,90
2019-03-13,4,85
2019-03-14,4,70
2019-03-15,4,84
2019-03-16,0,1
2019-03-17,0,1
2019-03-18,3,91
2019-03-19,5,82
2019-03-20,3,72
2019-03-21,5,85
2019-03-22,1,79
2019-03-23,0,3
2019-03-24,1,2
2019-03-25,1,92
2019-03-26,6,96
2019-03-27,2,76
2019-03-28,4,91
2019-03-29,6,73
2019-03-30,0,1
2019-03-31,0,3
2019-04-01,3,97
2019-04-02,1,82
2019-04-03,4,78
2019-04-04,1,59
2019-04-05,2,79
2019-04-06,0,1
2019-04-07,0,1
2019-04-08,3,98
2019-04-09,10,91
2019-04-10,3,85
2019-04-11,5,70
2019-04-12,5,79
2019-04-13,0,1
2019-04-14,0,2
2019-04-15,2,95
2019-04-16,2,97
2019-04-17,7,98
2019-04-18,3,83
2019-04-19,0,25
2019-04-20,0,0
2019-04-21,0,0
2019-04-22,0,26
2019-04-23,2,122
2019-04-24,1,105
2019-04-25,2,79
2019-04-26,3,81
2019-04-27,0,0
2019-04-28,0,0
2019-04-29,6,97
2019-04-30,6,103
2019-05-01,6,87
2019-05-02,3,76
2019-05-03,1,69
2019-05-04,0,0
2019-05-05,0,0
2019-05-06,0,21
2019-05-07,0,88
2019-05-08,1,88
2019-05-09,3,92
2019-05-10,9,88
2019-05-11,0,1
2019-05-12,0,2
2019-05-13,6,95
2019-05-14,2,79
2019-05-15,4,88
2019-05-16,6,77
2019-05-17,6,73
2019-05-18,0,1
2019-05-19,0,3
2019-05-20,6,110
2019-05-21,2,88
2019-05-22,6,107
2019-05-23,4,82
2019-05-24,6,78
2019-05-25,0,3
2019-05-26,0,2
2019-05-27,0,26
2019-05-28,8,97
2019-05-29,5,92
2019-05-30,6,79
2019-05-31,2,86
2019-06-01,0,3
2019-06-02,0,2
2019-06-03,5,84
2019-06-04,7,83
2019-06-05,3,86
2019-06-06,2,84
2019-06-07,6,90
2019-06-08,0,1
2019-06-09,0,1
2019-06-10,7,90
2019-06-11,3,80
2019-06-12,8,89
2019-06-13,2,78
2019-06-14,3,97
2019-06-15,0,2
2019-06-16,0,0
2019-06-17,5,97
2019-06-18,1,86
2019-06-19,5,91
2019-06-20,3,58
2019-06-21,4,81
2019-06-22,1,4
2019-06-23,0,1
2019-06-24,4,83
2019-06-25,5,93
2019-06-26,6,83
2019-06-27,7,68
2019-06-28,3,64
2019-06-29,0,2
2019-06-30,1,2
2019-07-01,3,91
2019-07-02,2,75
2019-07-03,4,81
2019-07-04,1,67
2019-07-05,1,71
2019-07-06,0,2
2019-07-07,0,1
2019-07-08,3,101
2019-07-09,2,72
2019-07-10,2,88
2019-07-11,4,74
2019-07-12,2,65
2019-07-13,0,2
2019-07-14,0,1
2019-07-15,4,99
2019-07-16,5,86
2019-07-17,3,75
2019-07-18,5,66
2019-07-19,4,74
2019-07-20,0,2
2019-07-21,0,3
2019-07-22,4,82
2019-07-23,4,81
2019-07-24,4,76
2019-07-25,10,86
2019-07-26,5,63
2019-07-27,0,4
2019-07-28,1,2
2019-07-29,4,79
2019-07-30,2,78
2019-07-31,2,79
2019-08-01,3,91
2019-08-02,3,65
2019-08-03,0,2
2019-08-04,0,1
2019-08-05,6,92
2019-08-06,3,72
2019-08-07,2,71
2019-08-08,4,77
2019-08-09,4,69
2019-08-10,0,3
2019-08-11,0,1
2019-08-12,3,77
2019-08-13,5,90
2019-08-14,3,86
2019-08-15,6,70
2019-08-16,3,66
2019-08-17,0,1
2019-08-18,0,1
2019-08-19,3,79
2019-08-20,1,85
2019-08-21,1,63
2019-08-22,6,87
2019-08-23,3,69
2019-08-24,0,1
2019-08-25,0,0
2019-08-26,0,22
2019-08-27,2,88
2019-08-28,6,65
2019-08-29,4,85
2019-08-30,7,63
2019-08-31,0,1
2019-09-01,0,0
2019-09-02,5,91
2019-09-03,2,81
2019-09-04,4,76
2019-09-05,3,75
2019-09-06,3,71
2019-09-07,0,2
2019-09-08,0,3
2019-09-09,2,80
2019-09-10,1,94
2019-09-11,3,80
2019-09-12,1,70
2019-09-13,6,79
2019-09-14,0,2
2019-09-15,0,0
2019-09-16,2,67
2019-09-17,2,85
2019-09-18,0,70
2019-09-19,5,62
2019-09-20,2,64
2019-09-21,1,3
2019-09-22,0,1
2019-09-23,4,79
2019-09-24,3,90
2019-09-25,3,81
2019-09-26,4,61
2019-09-27,6,69
2019-09-28,0,2
2019-09-29,0,1
2019-09-30,4,82
2019-10-01,4,77
2019-10-02,3,85
2019-10-03,4,68
2019-10-04,3,70
2019-10-05,0,1
2019-10-06,0,1
2019-10-07,2,86
2019-10-08,3,78
2019-10-09,4,68
2019-10-10,3,69
2019-10-11,6,70
2019-10-12,0,0
2019-10-13,0,2
2019-10-14,6,93
2019-10-15,2,63
2019-10-16,2,64
2019-10-17,6,92
2019-10-18,2,67
2019-10-19,0,0
2019-10-20,0,2
2019-10-21,6,87
2019-10-22,3,70
2019-10-23,2,71
2019-10-24,3,74
2019-10-25,0,70
2019-10-26,0,1
2019-10-27,0,1
2019-10-28,4,88
2019-10-29,3,63
2019-10-30,2,66
2019-10-31,2,70
2019-11-01,6,69
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,2,73
2019-11-05,2,71
2019-11-06,2,67
2019-11-07,4,79
2019-11-08,3,88
2019-11-09,0,8
2019-11-10,0,1
2019-11-11,3,84
2019-11-12,3,84
2019-11-13,4,66
2019-11-14,2,71
2019-11-15,1,80
2019-11-16,0,4
2019-11-17,0,0
2019-11-18,2,63
2019-11-19,1,72
2019-11-20,0,63
2019-11-21,4,74
2019-11-22,5,68
2019-11-23,0,1
2019-11-24,0,0
2019-11-25,4,82
2019-11-26,0,75
2019-11-27,5,76
2019-11-28,4,68
2019-11-29,5,65
2019-11-30,0,1
2019-12-01,0,0
2019-12-02,1,84
2019-12-03,1,61
2019-12-04,5,88
2019-12-05,6,83
2019-12-06,8,71
2019-12-07,0,2
2019-12-08,0,1
2019-12-09,4,69
2019-12-10,4,78
2019-12-11,4,74
2019-12-12,1,68
2019-12-13,2,63
2019-12-14,0,5
2019-12-15,0,1
2019-12-16,4,108
2019-12-17,2,98
2019-12-18,2,88
2019-12-19,3,93
2019-12-20,3,74
2019-12-21,0,2
2019-12-22,0,3
2019-12-23,2,87
2019-12-24,3,76
2019-12-25,0,21
2019-12-26,0,25
2019-12-27,0,65
2019-12-28,0,2
2019-12-29,0,3
2019-12-30,2,98
2019-12-31,0,77
2020-01-01,0,21
2020-01-02,2,69
2020-01-03,2,73
2020-01-04,0,2
2020-01-05,0,2
2020-01-06,2,82
2020-01-07,4,99
2020-01-08,2,61
2020-01-09,2,62
2020-01-10,6,77
2020-01-11,0,3
2020-01-12,0,1
2020-01-13,0,78
2020-01-14,1,86
2020-01-15,4,74
2020-01-16,2,59
2020-01-17,5,71
2020-01-18,1,3
2020-01-19,0,2
2020-01-20,8,93
2020-01-21,3,75
2020-01-22,3,69
2020-01-23,0,70
2020-01-24,9,73
2020-01-25,0,3
2020-01-26,0,3
2020-01-27,5,84
2020-01-28,6,67
2020-01-29,3,71
2020-01-30,2,66
2020-01-31,1,57
2020-02-01,0,3
2020-02-02,0,4
2020-02-03,2,80
2020-02-04,3,82
2020-02-05,4,64
2020-02-06,3,65
2020-02-07,6,74
2020-02-08,0,2
2020-02-09,0,2
2020-02-10,4,75
2020-02-11,1,76
2020-02-12,1,52
2020-02-13,5,74
2020-02-14,4,73
2020-02-15,0,4
2020-02-16,0,4
2020-02-17,3,73
2020-02-18,4,87
2020-02-19,1,63
2020-02-20,4,64
2020-02-21,5,70
2020-02-22,0,3
2020-02-23,0,3
2020-02-24,1,81
2020-02-25,5,75
2020-02-26,0,60
2020-02-27,4,77
2020-02-28,2,57
2020-02-29,0,3
2020-03-01,0,3
2020-03-02,6,96
2020-03-03,1,79
2020-03-04,3,57
2020-03-05,0,19
2020-03-06,0,19
2020-03-07,0,1
2020-03-08,0,3
2020-03-09,0,29
2020-03-10,0,23
2020-03-11,2,55
2020-03-12,1,59
2020-03-13,1,86
2020-03-14,0,3
2020-03-15,0,3
2020-03-16,3,67
2020-03-17,0,78
2020-03-18,2,78
2020-03-19,2,58
2020-03-20,2,78
2020-03-21,0,1
2020-03-22,0,3
2020-03-23,3,93
2020-03-24,3,78
2020-03-25,4,68
2020-03-26,3,73
2020-03-27,3,75
2020-03-28,0,2
2020-03-29,1,6
2020-03-30,1,71
2020-03-31,4,68
2020-04-01,2,74
2020-04-02,1,51
2020-04-03,3,76
2020-04-04,0,2
2020-04-05,0,4
2020-04-06,4,84
2020-04-07,1,81
2020-04-08,4,71
2020-04-09,0,57
2020-04-10,1,45
2020-04-11,0,1
2020-04-12,0,3
2020-04-13,0,40
2020-04-14,6,88
2020-04-15,3,78
2020-04-16,2,52
2020-04-17,2,67
2020-04-18,0,1
2020-04-19,0,3
2020-04-20,5,77
2020-04-21,5,77
2020-04-22,2,58
2020-04-23,4,45
2020-04-24,3,75
2020-04-25,0,1
2020-04-26,0,2
2020-04-27,2,80
2020-04-28,1,73
2020-04-29,3,67
2020-04-30,1,63
2020-05-01,3,72
2020-05-02,0,2
2020-05-03,0,1
2020-05-04,1,72
2020-05-05,1,76
2020-05-06,2,63
2020-05-07,2,63
2020-05-08,3,37
2020-05-09,0,1
2020-05-10,0,1
2020-05-11,2,68
2020-05-12,1,75
2020-05-13,3,69
2020-05-14,0,12
