Date,IncidenceOfDepression,PrevalenceOfDepression
2018-06-21,14,91
2018-06-22,11,101
2018-06-23,0,0
2018-06-24,0,1
2018-06-25,19,109
2018-06-26,12,82
2018-06-27,13,85
2018-06-28,14,99
2018-06-29,12,84
2018-06-30,1,2
2018-07-01,1,3
2018-07-02,12,85
2018-07-03,15,91
2018-07-04,18,89
2018-07-05,16,109
2018-07-06,11,82
2018-07-07,0,3
2018-07-08,0,0
2018-07-09,19,91
2018-07-10,21,92
2018-07-11,13,96
2018-07-12,15,97
2018-07-13,14,85
2018-07-14,0,2
2018-07-15,1,3
2018-07-16,20,118
2018-07-17,20,102
2018-07-18,22,100
2018-07-19,18,112
2018-07-20,16,77
2018-07-21,1,2
2018-07-22,0,1
2018-07-23,18,114
2018-07-24,19,133
2018-07-25,16,103
2018-07-26,24,109
2018-07-27,15,85
2018-07-28,1,1
2018-07-29,0,2
2018-07-30,17,87
2018-07-31,12,117
2018-08-01,14,81
2018-08-02,16,100
2018-08-03,8,76
2018-08-04,0,1
2018-08-05,0,1
2018-08-06,9,87
2018-08-07,13,98
2018-08-08,15,87
2018-08-09,17,106
2018-08-10,7,95
2018-08-11,0,3
2018-08-12,1,1
2018-08-13,16,112
2018-08-14,9,97
2018-08-15,10,93
2018-08-16,11,107
2018-08-17,11,112
2018-08-18,1,1
2018-08-19,0,0
2018-08-20,17,104
2018-08-21,19,113
2018-08-22,9,88
2018-08-23,8,101
2018-08-24,13,88
2018-08-25,0,0
2018-08-26,0,0
2018-08-27,0,0
2018-08-28,17,106
2018-08-29,13,101
2018-08-30,16,113
2018-08-31,16,111
2018-09-01,0,2
2018-09-02,1,2
2018-09-03,14,116
2018-09-04,18,109
2018-09-05,13,117
2018-09-06,24,107
2018-09-07,13,99
2018-09-08,4,6
2018-09-09,0,0
2018-09-10,16,112
2018-09-11,15,124
2018-09-12,13,99
2018-09-13,20,111
2018-09-14,11,95
2018-09-15,1,4
2018-09-16,1,1
2018-09-17,16,109
2018-09-18,14,115
2018-09-19,19,109
2018-09-20,12,108
2018-09-21,13,95
2018-09-22,0,1
2018-09-23,1,3
2018-09-24,14,116
2018-09-25,21,112
2018-09-26,13,110
2018-09-27,16,109
2018-09-28,22,103
2018-09-29,0,4
2018-09-30,0,1
2018-10-01,28,117
2018-10-02,21,118
2018-10-03,14,120
2018-10-04,24,114
2018-10-05,13,100
2018-10-06,1,2
2018-10-07,1,2
2018-10-08,24,117
2018-10-09,16,134
2018-10-10,15,117
2018-10-11,18,119
2018-10-12,16,115
2018-10-13,2,3
2018-10-14,0,1
2018-10-15,22,146
2018-10-16,13,113
2018-10-17,17,106
2018-10-18,22,122
2018-10-19,20,99
2018-10-20,1,3
2018-10-21,0,1
2018-10-22,13,107
2018-10-23,19,118
2018-10-24,12,101
2018-10-25,8,109
2018-10-26,15,111
2018-10-27,0,2
2018-10-28,1,1
2018-10-29,24,115
2018-10-30,15,98
2018-10-31,17,112
2018-11-01,19,119
2018-11-02,20,111
2018-11-03,0,0
2018-11-04,0,2
2018-11-05,23,108
2018-11-06,17,113
2018-11-07,16,120
2018-11-08,19,115
2018-11-09,21,98
2018-11-10,0,1
2018-11-11,1,3
2018-11-12,15,113
2018-11-13,13,134
2018-11-14,19,123
2018-11-15,17,133
2018-11-16,16,94
2018-11-17,0,3
2018-11-18,1,4
2018-11-19,21,121
2018-11-20,27,124
2018-11-21,12,103
2018-11-22,14,106
2018-11-23,19,103
2018-11-24,1,5
2018-11-25,1,2
2018-11-26,19,135
2018-11-27,11,87
2018-11-28,18,120
2018-11-29,15,144
2018-11-30,16,118
2018-12-01,2,4
2018-12-02,0,2
2018-12-03,20,127
2018-12-04,19,140
2018-12-05,17,118
2018-12-06,19,128
2018-12-07,17,127
2018-12-08,1,3
2018-12-09,0,3
2018-12-10,17,105
2018-12-11,14,128
2018-12-12,22,138
2018-12-13,18,140
2018-12-14,14,96
2018-12-15,1,1
2018-12-16,0,0
2018-12-17,21,111
2018-12-18,15,113
2018-12-19,17,103
2018-12-20,14,120
2018-12-21,8,101
2018-12-22,2,3
2018-12-23,0,1
2018-12-24,6,35
2018-12-25,0,0
2018-12-26,1,1
2018-12-27,11,66
2018-12-28,8,88
2018-12-29,1,2
2018-12-30,0,2
2018-12-31,7,57
2019-01-01,4,7
2019-01-02,10,82
2019-01-03,20,110
2019-01-04,18,84
2019-01-05,0,3
2019-01-06,0,1
2019-01-07,27,134
2019-01-08,20,118
2019-01-09,14,129
2019-01-10,14,138
2019-01-11,17,103
2019-01-12,1,2
2019-01-13,0,4
2019-01-14,13,126
2019-01-15,23,120
2019-01-16,14,114
2019-01-17,19,113
2019-01-18,16,117
2019-01-19,1,5
2019-01-20,0,2
2019-01-21,16,116
2019-01-22,24,112
2019-01-23,17,110
2019-01-24,21,95
2019-01-25,21,107
2019-01-26,1,2
2019-01-27,0,1
2019-01-28,15,123
2019-01-29,18,124
2019-01-30,12,102
2019-01-31,12,115
2019-02-01,21,117
2019-02-02,1,2
2019-02-03,0,0
2019-02-04,16,100
2019-02-05,27,132
2019-02-06,18,113
2019-02-07,14,125
2019-02-08,19,98
2019-02-09,2,6
2019-02-10,0,0
2019-02-11,22,117
2019-02-12,18,105
2019-02-13,20,102
2019-02-14,18,122
2019-02-15,11,84
2019-02-16,1,3
2019-02-17,0,2
2019-02-18,18,108
2019-02-19,21,105
2019-02-20,16,111
2019-02-21,9,110
2019-02-22,19,79
2019-02-23,2,3
2019-02-24,0,0
2019-02-25,23,116
2019-02-26,15,113
2019-02-27,17,103
2019-02-28,10,123
2019-03-01,17,114
2019-03-02,0,1
2019-03-03,0,3
2019-03-04,14,104
2019-03-05,18,132
2019-03-06,16,108
2019-03-07,16,111
2019-03-08,28,133
2019-03-09,2,5
2019-03-10,1,2
2019-03-11,15,127
2019-03-12,16,110
2019-03-13,26,121
2019-03-14,22,131
2019-03-15,20,106
2019-03-16,0,4
2019-03-17,0,0
2019-03-18,15,115
2019-03-19,29,142
2019-03-20,18,130
2019-03-21,20,131
2019-03-22,22,114
2019-03-23,1,3
2019-03-24,1,2
2019-03-25,22,113
2019-03-26,22,128
2019-03-27,20,104
2019-03-28,24,130
2019-03-29,20,123
2019-03-30,0,3
2019-03-31,0,4
2019-04-01,25,123
2019-04-02,21,124
2019-04-03,19,99
2019-04-04,12,104
2019-04-05,21,112
2019-04-06,0,2
2019-04-07,1,2
2019-04-08,17,104
2019-04-09,11,90
2019-04-10,16,93
2019-04-11,17,94
2019-04-12,11,87
2019-04-13,1,4
2019-04-14,1,2
2019-04-15,16,119
2019-04-16,15,107
2019-04-17,23,110
2019-04-18,15,101
2019-04-19,0,0
2019-04-20,2,2
2019-04-21,0,1
2019-04-22,0,0
2019-04-23,13,103
2019-04-24,13,100
2019-04-25,14,150
2019-04-26,16,110
2019-04-27,2,5
2019-04-28,0,1
2019-04-29,16,112
2019-04-30,24,134
2019-05-01,16,110
2019-05-02,15,124
2019-05-03,21,109
2019-05-04,1,1
2019-05-05,0,3
2019-05-06,0,1
2019-05-07,33,152
2019-05-08,13,111
2019-05-09,19,134
2019-05-10,13,102
2019-05-11,0,3
2019-05-12,1,3
2019-05-13,15,137
2019-05-14,19,134
2019-05-15,17,111
2019-05-16,19,114
2019-05-17,16,105
2019-05-18,0,4
2019-05-19,1,5
2019-05-20,20,130
2019-05-21,10,82
2019-05-22,16,122
2019-05-23,12,136
2019-05-24,17,111
2019-05-25,0,2
2019-05-26,0,2
2019-05-27,1,1
2019-05-28,16,103
2019-05-29,17,117
2019-05-30,19,137
2019-05-31,12,102
2019-06-01,1,4
2019-06-02,0,1
2019-06-03,17,147
2019-06-04,12,94
2019-06-05,20,118
2019-06-06,18,149
2019-06-07,21,108
2019-06-08,1,1
2019-06-09,1,2
2019-06-10,21,127
2019-06-11,21,143
2019-06-12,26,149
2019-06-13,16,128
2019-06-14,15,104
2019-06-15,2,3
2019-06-16,0,4
2019-06-17,24,133
2019-06-18,11,96
2019-06-19,16,106
2019-06-20,19,124
2019-06-21,17,116
2019-06-22,2,3
2019-06-23,1,2
2019-06-24,15,107
2019-06-25,22,127
2019-06-26,13,104
2019-06-27,19,105
2019-06-28,13,91
2019-06-29,0,0
2019-06-30,0,2
2019-07-01,15,108
2019-07-02,17,107
2019-07-03,21,128
2019-07-04,16,124
2019-07-05,19,105
2019-07-06,1,3
2019-07-07,0,1
2019-07-08,11,119
2019-07-09,9,110
2019-07-10,26,131
2019-07-11,20,95
2019-07-12,16,113
2019-07-13,0,0
2019-07-14,0,0
2019-07-15,14,109
2019-07-16,14,103
2019-07-17,14,110
2019-07-18,25,129
2019-07-19,9,99
2019-07-20,0,4
2019-07-21,1,2
2019-07-22,18,119
2019-07-23,13,105
2019-07-24,11,99
2019-07-25,14,103
2019-07-26,15,93
2019-07-27,0,3
2019-07-28,0,0
2019-07-29,12,126
2019-07-30,13,117
2019-07-31,24,126
2019-08-01,12,114
2019-08-02,22,117
2019-08-03,0,3
2019-08-04,0,0
2019-08-05,11,107
2019-08-06,20,116
2019-08-07,15,113
2019-08-08,20,96
2019-08-09,18,105
2019-08-10,1,4
2019-08-11,0,0
2019-08-12,9,114
2019-08-13,13,107
2019-08-14,15,95
2019-08-15,11,118
2019-08-16,11,89
2019-08-17,0,1
2019-08-18,1,1
2019-08-19,19,115
2019-08-20,25,125
2019-08-21,16,113
2019-08-22,7,88
2019-08-23,6,70
2019-08-24,0,1
2019-08-25,1,1
2019-08-26,0,1
2019-08-27,11,110
2019-08-28,18,110
2019-08-29,18,109
2019-08-30,13,99
2019-08-31,1,6
2019-09-01,2,4
2019-09-02,16,117
2019-09-03,15,126
2019-09-04,7,116
2019-09-05,14,115
2019-09-06,19,88
2019-09-07,0,1
2019-09-08,0,0
2019-09-09,19,118
2019-09-10,18,104
2019-09-11,16,108
2019-09-12,19,131
2019-09-13,14,103
2019-09-14,2,5
2019-09-15,0,0
2019-09-16,18,107
2019-09-17,15,133
2019-09-18,15,119
2019-09-19,12,94
2019-09-20,15,93
2019-09-21,0,1
2019-09-22,1,3
2019-09-23,13,108
2019-09-24,24,143
2019-09-25,18,129
2019-09-26,15,108
2019-09-27,9,105
2019-09-28,1,2
2019-09-29,0,5
2019-09-30,17,115
2019-10-01,18,112
2019-10-02,19,106
2019-10-03,20,110
2019-10-04,13,83
2019-10-05,3,4
2019-10-06,0,0
2019-10-07,14,122
2019-10-08,26,128
2019-10-09,18,106
2019-10-10,16,127
2019-10-11,22,89
2019-10-12,1,4
2019-10-13,2,7
2019-10-14,25,145
2019-10-15,18,139
2019-10-16,17,117
2019-10-17,16,108
2019-10-18,27,95
2019-10-19,1,6
2019-10-20,1,4
2019-10-21,16,122
2019-10-22,17,120
2019-10-23,16,114
2019-10-24,17,102
2019-10-25,8,78
2019-10-26,2,3
2019-10-27,1,3
2019-10-28,22,140
2019-10-29,16,122
2019-10-30,16,113
2019-10-31,16,132
2019-11-01,17,96
2019-11-02,1,2
2019-11-03,0,2
2019-11-04,24,146
2019-11-05,15,91
2019-11-06,22,134
2019-11-07,17,120
2019-11-08,11,103
2019-11-09,0,6
2019-11-10,1,5
2019-11-11,26,122
2019-11-12,24,138
2019-11-13,21,101
2019-11-14,24,153
2019-11-15,15,100
2019-11-16,1,2
2019-11-17,0,1
2019-11-18,13,108
2019-11-19,24,128
2019-11-20,22,124
2019-11-21,14,123
2019-11-22,16,92
2019-11-23,1,6
2019-11-24,1,3
2019-11-25,19,119
2019-11-26,26,147
2019-11-27,24,144
2019-11-28,17,121
2019-11-29,19,104
2019-11-30,2,7
2019-12-01,1,1
2019-12-02,14,119
2019-12-03,17,121
2019-12-04,19,134
2019-12-05,14,109
2019-12-06,18,105
2019-12-07,0,0
2019-12-08,2,4
2019-12-09,20,104
2019-12-10,27,137
2019-12-11,15,116
2019-12-12,17,124
2019-12-13,12,98
2019-12-14,0,2
2019-12-15,0,3
2019-12-16,14,94
2019-12-17,22,133
2019-12-18,13,129
2019-12-19,13,129
2019-12-20,16,95
2019-12-21,1,6
2019-12-22,0,1
2019-12-23,20,88
2019-12-24,6,38
2019-12-25,0,0
2019-12-26,0,2
2019-12-27,9,55
2019-12-28,0,1
2019-12-29,0,1
2019-12-30,17,97
2019-12-31,11,75
2020-01-01,0,1
2020-01-02,9,104
2020-01-03,15,102
2020-01-04,0,1
2020-01-05,1,2
2020-01-06,22,147
2020-01-07,13,122
2020-01-08,24,149
2020-01-09,30,134
2020-01-10,11,96
2020-01-11,1,1
2020-01-12,1,5
2020-01-13,24,151
2020-01-14,15,131
2020-01-15,16,124
2020-01-16,19,137
2020-01-17,9,94
2020-01-18,0,3
2020-01-19,0,2
2020-01-20,19,107
2020-01-21,34,121
2020-01-22,18,103
2020-01-23,16,110
2020-01-24,13,104
2020-01-25,1,7
2020-01-26,0,3
2020-01-27,21,139
2020-01-28,17,117
2020-01-29,25,132
2020-01-30,13,110
2020-01-31,16,110
2020-02-01,1,5
2020-02-02,3,8
2020-02-03,23,145
2020-02-04,14,116
2020-02-05,17,137
2020-02-06,19,122
2020-02-07,16,89
2020-02-08,1,4
2020-02-09,0,3
2020-02-10,20,118
2020-02-11,20,113
2020-02-12,16,125
2020-02-13,18,140
2020-02-14,18,96
2020-02-15,4,5
2020-02-16,1,4
2020-02-17,18,137
2020-02-18,22,130
2020-02-19,16,135
2020-02-20,23,119
2020-02-21,16,103
2020-02-22,4,5
2020-02-23,0,3
2020-02-24,14,115
2020-02-25,20,123
2020-02-26,21,112
2020-02-27,22,145
2020-02-28,20,106
2020-02-29,1,6
2020-03-01,1,2
2020-03-02,18,131
2020-03-03,12,135
2020-03-04,22,125
2020-03-05,13,117
2020-03-06,17,103
2020-03-07,0,3
2020-03-08,0,1
2020-03-09,23,144
2020-03-10,20,128
2020-03-11,14,120
2020-03-12,21,118
2020-03-13,7,88
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,5,88
2020-03-17,8,70
2020-03-18,8,75
2020-03-19,7,64
2020-03-20,6,53
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,8,62
2020-03-24,9,64
2020-03-25,8,56
2020-03-26,8,63
2020-03-27,2,50
2020-03-28,0,5
2020-03-29,0,0
2020-03-30,3,52
2020-03-31,8,62
2020-04-01,1,52
2020-04-02,5,56
2020-04-03,5,44
2020-04-04,0,2
2020-04-05,0,1
2020-04-06,5,50
2020-04-07,3,40
2020-04-08,7,38
2020-04-09,4,60
2020-04-10,3,20
2020-04-11,0,0
2020-04-12,0,1
2020-04-13,0,18
2020-04-14,3,61
2020-04-15,3,34
2020-04-16,3,52
2020-04-17,6,51
2020-04-18,0,2
2020-04-19,0,0
2020-04-20,6,64
2020-04-21,7,73
2020-04-22,4,48
2020-04-23,9,51
2020-04-24,4,40
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,8,60
2020-04-28,7,61
2020-04-29,10,51
2020-04-30,4,73
2020-05-01,4,57
2020-05-02,0,0
2020-05-03,0,0
2020-05-04,6,58
2020-05-05,8,75
2020-05-06,5,54
2020-05-07,7,53
2020-05-08,6,13
2020-05-09,0,0
2020-05-10,0,0
2020-05-11,7,70
2020-05-12,6,59
2020-05-13,4,53
2020-05-14,5,51
2020-05-15,9,49
2020-05-16,0,0
2020-05-17,0,0
2020-05-18,0,0
2020-05-19,0,0
2020-05-20,0,0
2020-05-21,0,0
