Date,IncidenceOfAntipsychotics,PrevalenceOfAntipsychotics
2015-05-19,5,383
2015-05-20,10,298
2015-05-21,10,334
2015-05-22,14,293
2015-05-23,0,5
2015-05-24,0,4
2015-05-25,0,135
2015-05-26,4,438
2015-05-27,11,359
2015-05-28,6,305
2015-05-29,9,259
2015-05-30,0,5
2015-05-31,0,4
2015-06-01,13,428
2015-06-02,15,395
2015-06-03,2,314
2015-06-04,7,331
2015-06-05,5,276
2015-06-06,0,5
2015-06-07,0,5
2015-06-08,12,424
2015-06-09,8,377
2015-06-10,8,320
2015-06-11,9,313
2015-06-12,9,273
2015-06-13,0,9
2015-06-14,0,7
2015-06-15,16,401
2015-06-16,9,363
2015-06-17,9,306
2015-06-18,14,318
2015-06-19,9,283
2015-06-20,2,9
2015-06-21,0,6
2015-06-22,10,388
2015-06-23,10,387
2015-06-24,12,317
2015-06-25,7,274
2015-06-26,15,307
2015-06-27,2,6
2015-06-28,0,6
2015-06-29,11,436
2015-06-30,8,378
2015-07-01,13,329
2015-07-02,11,294
2015-07-03,7,302
2015-07-04,0,1
2015-07-05,0,3
2015-07-06,8,433
2015-07-07,14,360
2015-07-08,7,302
2015-07-09,15,299
2015-07-10,6,283
2015-07-11,0,5
2015-07-12,0,6
2015-07-13,18,456
2015-07-14,12,348
2015-07-15,7,335
2015-07-16,12,308
2015-07-17,13,290
2015-07-18,1,4
2015-07-19,0,7
2015-07-20,13,422
2015-07-21,17,375
2015-07-22,10,307
2015-07-23,4,276
2015-07-24,8,317
2015-07-25,0,11
2015-07-26,0,5
2015-07-27,10,409
2015-07-28,7,367
2015-07-29,15,349
2015-07-30,7,306
2015-07-31,8,292
2015-08-01,0,5
2015-08-02,0,6
2015-08-03,14,427
2015-08-04,9,376
2015-08-05,13,303
2015-08-06,10,291
2015-08-07,10,287
2015-08-08,0,6
2015-08-09,0,4
2015-08-10,10,435
2015-08-11,13,371
2015-08-12,14,347
2015-08-13,9,310
2015-08-14,9,283
2015-08-15,0,6
2015-08-16,0,6
2015-08-17,21,459
2015-08-18,14,382
2015-08-19,5,309
2015-08-20,10,322
2015-08-21,15,287
2015-08-22,0,3
2015-08-23,0,9
2015-08-24,16,448
2015-08-25,7,360
2015-08-26,15,350
2015-08-27,12,327
2015-08-28,13,309
2015-08-29,0,4
2015-08-30,0,7
2015-08-31,0,148
2015-09-01,15,428
2015-09-02,3,335
2015-09-03,15,371
2015-09-04,8,312
2015-09-05,0,2
2015-09-06,0,12
2015-09-07,11,390
2015-09-08,11,395
2015-09-09,2,325
2015-09-10,10,329
2015-09-11,8,277
2015-09-12,0,11
2015-09-13,0,11
2015-09-14,7,409
2015-09-15,20,370
2015-09-16,5,311
2015-09-17,9,317
2015-09-18,13,322
2015-09-19,0,5
2015-09-20,0,14
2015-09-21,14,405
2015-09-22,15,380
2015-09-23,17,339
2015-09-24,10,332
2015-09-25,9,276
2015-09-26,0,4
2015-09-27,0,14
2015-09-28,11,405
2015-09-29,9,384
2015-09-30,8,314
2015-10-01,18,337
2015-10-02,11,287
2015-10-03,0,9
2015-10-04,0,12
2015-10-05,10,404
2015-10-06,12,416
2015-10-07,7,299
2015-10-08,14,319
2015-10-09,9,294
2015-10-10,0,2
2015-10-11,0,14
2015-10-12,17,433
2015-10-13,13,414
2015-10-14,12,335
2015-10-15,11,301
2015-10-16,8,301
2015-10-17,0,13
2015-10-18,0,12
2015-10-19,22,468
2015-10-20,14,352
2015-10-21,8,342
2015-10-22,11,293
2015-10-23,6,306
2015-10-24,0,7
2015-10-25,0,12
2015-10-26,6,454
2015-10-27,7,346
2015-10-28,8,323
2015-10-29,12,304
2015-10-30,10,318
2015-10-31,0,4
2015-11-01,0,13
2015-11-02,20,472
2015-11-03,10,335
2015-11-04,9,322
2015-11-05,10,332
2015-11-06,11,319
2015-11-07,0,8
2015-11-08,0,8
2015-11-09,14,460
2015-11-10,8,351
2015-11-11,15,331
2015-11-12,7,339
2015-11-13,12,301
2015-11-14,1,6
2015-11-15,0,8
2015-11-16,14,471
2015-11-17,17,413
2015-11-18,11,348
2015-11-19,12,315
2015-11-20,9,292
2015-11-21,2,14
2015-11-22,0,7
2015-11-23,8,494
2015-11-24,12,376
2015-11-25,10,311
2015-11-26,12,324
2015-11-27,8,279
2015-11-28,0,10
2015-11-29,0,7
2015-11-30,11,486
2015-12-01,13,382
2015-12-02,9,293
2015-12-03,14,301
2015-12-04,11,291
2015-12-05,0,6
2015-12-06,0,9
2015-12-07,12,496
2015-12-08,13,391
2015-12-09,15,292
2015-12-10,12,338
2015-12-11,12,323
2015-12-12,0,12
2015-12-13,0,9
2015-12-14,13,569
2015-12-15,10,438
2015-12-16,14,365
2015-12-17,15,362
2015-12-18,9,365
2015-12-19,0,9
2015-12-20,0,10
2015-12-21,12,574
2015-12-22,18,401
2015-12-23,16,271
2015-12-24,4,242
2015-12-25,0,83
2015-12-26,0,3
2015-12-27,0,9
2015-12-28,0,196
2015-12-29,10,401
2015-12-30,12,280
2015-12-31,3,243
2016-01-01,0,60
2016-01-02,0,4
2016-01-03,0,5
2016-01-04,12,470
2016-01-05,12,416
2016-01-06,6,359
2016-01-07,9,364
2016-01-08,15,305
2016-01-09,3,9
2016-01-10,0,8
2016-01-11,16,481
2016-01-12,13,478
2016-01-13,12,356
2016-01-14,10,323
2016-01-15,12,263
2016-01-16,0,7
2016-01-17,0,12
2016-01-18,6,472
2016-01-19,8,431
2016-01-20,12,318
2016-01-21,10,298
2016-01-22,12,258
2016-01-23,1,8
2016-01-24,0,7
2016-01-25,16,444
2016-01-26,12,407
2016-01-27,8,304
2016-01-28,10,296
2016-01-29,10,247
2016-01-30,0,5
2016-01-31,0,6
2016-02-01,13,452
2016-02-02,8,384
2016-02-03,4,323
2016-02-04,5,295
2016-02-05,6,263
2016-02-06,0,5
2016-02-07,0,9
2016-02-08,18,470
2016-02-09,6,379
2016-02-10,7,304
2016-02-11,18,319
2016-02-12,15,320
2016-02-13,0,8
2016-02-14,0,8
2016-02-15,12,437
2016-02-16,12,368
2016-02-17,7,304
2016-02-18,7,323
2016-02-19,9,273
2016-02-20,0,10
2016-02-21,0,6
2016-02-22,13,409
2016-02-23,14,339
2016-02-24,15,280
2016-02-25,7,306
2016-02-26,13,291
2016-02-27,0,7
2016-02-28,0,6
2016-02-29,12,428
2016-03-01,13,394
2016-03-02,10,315
2016-03-03,9,346
2016-03-04,7,299
2016-03-05,0,15
2016-03-06,0,9
2016-03-07,16,438
2016-03-08,10,372
2016-03-09,9,334
2016-03-10,13,311
2016-03-11,8,274
2016-03-12,0,2
2016-03-13,0,6
2016-03-14,12,469
2016-03-15,9,383
2016-03-16,4,312
2016-03-17,11,343
2016-03-18,8,279
2016-03-19,1,17
2016-03-20,0,7
2016-03-21,13,480
2016-03-22,9,401
2016-03-23,9,306
2016-03-24,14,372
2016-03-25,0,78
2016-03-26,0,5
2016-03-27,0,6
2016-03-28,0,181
2016-03-29,15,466
2016-03-30,10,356
2016-03-31,6,391
2016-04-01,15,274
2016-04-02,0,8
2016-04-03,0,5
2016-04-04,11,479
2016-04-05,15,380
2016-04-06,6,350
2016-04-07,5,298
2016-04-08,3,253
2016-04-09,0,5
2016-04-10,0,5
2016-04-11,12,490
2016-04-12,4,371
2016-04-13,7,350
2016-04-14,11,304
2016-04-15,11,229
2016-04-16,0,9
2016-04-17,0,11
2016-04-18,9,414
2016-04-19,8,372
2016-04-20,10,328
2016-04-21,11,299
2016-04-22,6,265
2016-04-23,0,5
2016-04-24,0,7
2016-04-25,15,490
2016-04-26,10,373
2016-04-27,8,350
2016-04-28,14,307
2016-04-29,6,288
2016-04-30,1,7
2016-05-01,0,6
2016-05-02,0,171
2016-05-03,17,447
2016-05-04,16,413
2016-05-05,9,361
2016-05-06,9,278
2016-05-07,1,8
2016-05-08,0,5
2016-05-09,8,450
2016-05-10,6,391
2016-05-11,6,309
2016-05-12,11,298
2016-05-13,7,287
2016-05-14,0,6
2016-05-15,0,5
2016-05-16,13,427
2016-05-17,11,392
2016-05-18,9,317
2016-05-19,11,311
2016-05-20,8,304
2016-05-21,0,6
2016-05-22,0,5
2016-05-23,15,439
2016-05-24,12,430
2016-05-25,8,316
2016-05-26,8,329
2016-05-27,16,287
2016-05-28,0,6
2016-05-29,0,5
2016-05-30,0,171
2016-05-31,11,433
2016-06-01,8,327
2016-06-02,11,385
2016-06-03,7,317
2016-06-04,0,2
2016-06-05,0,5
2016-06-06,12,433
2016-06-07,9,418
2016-06-08,8,328
2016-06-09,13,305
2016-06-10,12,306
2016-06-11,0,4
2016-06-12,0,4
2016-06-13,10,356
2016-06-14,11,405
2016-06-15,7,340
2016-06-16,7,301
2016-06-17,9,285
2016-06-18,1,3
2016-06-19,0,1
2016-06-20,6,391
2016-06-21,19,410
2016-06-22,14,322
2016-06-23,11,321
2016-06-24,15,290
2016-06-25,0,3
2016-06-26,0,3
2016-06-27,11,439
2016-06-28,12,379
2016-06-29,12,314
2016-06-30,10,325
2016-07-01,7,279
2016-07-02,1,4
2016-07-03,0,5
2016-07-04,10,445
2016-07-05,12,373
2016-07-06,13,347
2016-07-07,7,307
2016-07-08,6,330
2016-07-09,0,7
2016-07-10,0,4
2016-07-11,9,445
2016-07-12,13,372
2016-07-13,12,342
2016-07-14,10,268
2016-07-15,6,299
2016-07-16,1,3
2016-07-17,0,4
2016-07-18,16,420
2016-07-19,9,341
2016-07-20,14,322
2016-07-21,8,300
2016-07-22,7,293
2016-07-23,0,3
2016-07-24,0,5
2016-07-25,8,403
2016-07-26,18,363
2016-07-27,10,335
2016-07-28,6,290
2016-07-29,4,322
2016-07-30,0,4
2016-07-31,0,4
2016-08-01,9,450
2016-08-02,13,333
2016-08-03,12,334
2016-08-04,11,331
2016-08-05,10,306
2016-08-06,0,3
2016-08-07,0,3
2016-08-08,6,402
2016-08-09,9,346
2016-08-10,6,313
2016-08-11,10,300
2016-08-12,6,341
2016-08-13,0,5
2016-08-14,0,3
2016-08-15,10,445
2016-08-16,7,337
2016-08-17,10,306
2016-08-18,12,311
2016-08-19,6,330
2016-08-20,0,2
2016-08-21,0,4
2016-08-22,7,474
2016-08-23,8,359
2016-08-24,9,297
2016-08-25,8,307
2016-08-26,6,349
2016-08-27,0,5
2016-08-28,0,1
2016-08-29,0,161
2016-08-30,18,470
2016-08-31,9,358
2016-09-01,11,324
2016-09-02,11,351
2016-09-03,0,9
2016-09-04,0,2
2016-09-05,8,424
2016-09-06,10,362
2016-09-07,17,298
2016-09-08,8,293
2016-09-09,10,309
2016-09-10,0,13
2016-09-11,0,3
2016-09-12,4,388
2016-09-13,8,369
2016-09-14,11,285
2016-09-15,18,332
2016-09-16,7,343
2016-09-17,1,11
2016-09-18,0,3
2016-09-19,11,415
2016-09-20,19,338
2016-09-21,5,324
2016-09-22,8,329
2016-09-23,17,336
2016-09-24,0,17
2016-09-25,0,4
2016-09-26,13,435
2016-09-27,12,372
2016-09-28,8,312
2016-09-29,6,324
2016-09-30,16,350
2016-10-01,2,13
2016-10-02,0,4
2016-10-03,11,410
2016-10-04,8,344
2016-10-05,7,314
2016-10-06,10,318
2016-10-07,7,354
2016-10-08,2,9
2016-10-09,0,4
2016-10-10,17,428
2016-10-11,11,318
2016-10-12,9,329
2016-10-13,12,311
2016-10-14,10,331
2016-10-15,0,9
2016-10-16,0,1
2016-10-17,7,429
2016-10-18,17,365
2016-10-19,10,370
2016-10-20,7,325
2016-10-21,14,343
2016-10-22,1,8
2016-10-23,0,3
2016-10-24,11,458
2016-10-25,12,323
2016-10-26,8,312
2016-10-27,10,304
2016-10-28,7,366
2016-10-29,0,11
2016-10-30,0,4
2016-10-31,17,423
2016-11-01,7,350
2016-11-02,14,334
2016-11-03,13,357
2016-11-04,13,323
2016-11-05,0,15
2016-11-06,0,4
2016-11-07,6,384
2016-11-08,10,354
2016-11-09,4,329
2016-11-10,13,280
2016-11-11,13,347
2016-11-12,0,17
2016-11-13,0,3
2016-11-14,11,422
2016-11-15,14,369
2016-11-16,5,288
2016-11-17,13,337
2016-11-18,13,360
2016-11-19,0,13
2016-11-20,0,5
2016-11-21,13,414
2016-11-22,5,384
2016-11-23,14,325
2016-11-24,18,334
2016-11-25,4,369
2016-11-26,0,10
2016-11-27,0,5
2016-11-28,9,472
2016-11-29,9,359
2016-11-30,10,338
2016-12-01,17,308
2016-12-02,6,391
2016-12-03,2,12
2016-12-04,0,18
2016-12-05,11,416
2016-12-06,11,393
2016-12-07,10,347
2016-12-08,11,315
2016-12-09,14,361
2016-12-10,0,11
2016-12-11,0,15
2016-12-12,12,460
2016-12-13,13,446
2016-12-14,4,352
2016-12-15,15,352
2016-12-16,9,395
2016-12-17,0,10
2016-12-18,0,14
2016-12-19,16,556
2016-12-20,12,463
2016-12-21,8,382
2016-12-22,7,293
2016-12-23,4,310
2016-12-24,0,6
2016-12-25,0,11
2016-12-26,0,124
2016-12-27,0,123
2016-12-28,14,370
2016-12-29,9,334
2016-12-30,7,350
2016-12-31,0,14
2017-01-01,0,6
2017-01-02,0,101
2017-01-03,14,446
2017-01-04,11,401
2017-01-05,10,348
2017-01-06,6,384
2017-01-07,2,16
2017-01-08,0,6
2017-01-09,9,372
2017-01-10,6,369
2017-01-11,6,354
2017-01-12,11,336
2017-01-13,10,385
2017-01-14,1,13
2017-01-15,0,6
2017-01-16,15,419
2017-01-17,12,381
2017-01-18,6,350
2017-01-19,7,336
2017-01-20,14,345
2017-01-21,1,14
2017-01-22,0,7
2017-01-23,12,411
2017-01-24,7,356
2017-01-25,9,324
2017-01-26,5,296
2017-01-27,9,343
2017-01-28,0,22
2017-01-29,0,7
2017-01-30,11,393
2017-01-31,9,380
2017-02-01,7,337
2017-02-02,6,337
2017-02-03,13,339
2017-02-04,0,14
2017-02-05,0,7
2017-02-06,13,455
2017-02-07,13,374
2017-02-08,11,365
2017-02-09,14,349
2017-02-10,12,365
2017-02-11,2,20
2017-02-12,0,6
2017-02-13,7,385
2017-02-14,15,370
2017-02-15,3,344
2017-02-16,13,329
2017-02-17,6,322
2017-02-18,0,17
2017-02-19,0,6
2017-02-20,8,415
2017-02-21,10,377
2017-02-22,11,336
2017-02-23,11,305
2017-02-24,12,345
2017-02-25,0,18
2017-02-26,0,5
2017-02-27,12,408
2017-02-28,12,362
2017-03-01,5,367
2017-03-02,15,323
2017-03-03,14,363
2017-03-04,0,13
2017-03-05,0,5
2017-03-06,7,463
2017-03-07,9,372
2017-03-08,12,335
2017-03-09,12,352
2017-03-10,11,347
2017-03-11,0,13
2017-03-12,0,5
2017-03-13,11,435
2017-03-14,11,346
2017-03-15,8,330
2017-03-16,12,344
2017-03-17,5,331
2017-03-18,0,12
2017-03-19,0,5
2017-03-20,11,439
2017-03-21,12,384
2017-03-22,10,331
2017-03-23,7,336
2017-03-24,4,314
2017-03-25,0,14
2017-03-26,1,7
2017-03-27,12,449
2017-03-28,10,410
2017-03-29,6,298
2017-03-30,8,321
2017-03-31,11,357
2017-04-01,0,14
2017-04-02,0,5
2017-04-03,10,454
2017-04-04,4,429
2017-04-05,15,363
2017-04-06,6,331
2017-04-07,10,353
2017-04-08,0,8
2017-04-09,0,12
2017-04-10,12,468
2017-04-11,10,402
2017-04-12,7,323
2017-04-13,4,358
2017-04-14,0,134
2017-04-15,1,8
2017-04-16,0,7
2017-04-17,0,130
2017-04-18,6,515
2017-04-19,9,406
2017-04-20,9,399
2017-04-21,11,340
2017-04-22,0,10
2017-04-23,0,5
2017-04-24,9,465
2017-04-25,15,414
2017-04-26,7,357
2017-04-27,11,406
2017-04-28,10,356
2017-04-29,1,9
2017-04-30,0,6
2017-05-01,0,113
2017-05-02,10,452
2017-05-03,15,416
2017-05-04,5,395
2017-05-05,9,396
2017-05-06,0,9
2017-05-07,0,6
2017-05-08,7,374
2017-05-09,15,426
2017-05-10,10,295
2017-05-11,15,336
2017-05-12,8,353
2017-05-13,0,10
2017-05-14,0,4
2017-05-15,18,451
2017-05-16,10,379
2017-05-17,12,339
2017-05-18,9,366
2017-05-19,8,375
2017-05-20,1,12
2017-05-21,0,6
2017-05-22,12,453
2017-05-23,10,362
2017-05-24,8,349
2017-05-25,9,349
2017-05-26,9,422
2017-05-27,0,8
2017-05-28,0,6
2017-05-29,0,144
2017-05-30,11,417
2017-05-31,6,376
2017-06-01,9,363
2017-06-02,12,354
2017-06-03,0,6
2017-06-04,1,5
2017-06-05,7,426
2017-06-06,15,387
2017-06-07,12,329
2017-06-08,9,347
2017-06-09,10,374
2017-06-10,0,11
2017-06-11,0,5
2017-06-12,10,449
2017-06-13,7,355
2017-06-14,9,331
2017-06-15,10,341
2017-06-16,11,362
2017-06-17,0,11
2017-06-18,0,4
2017-06-19,8,376
2017-06-20,7,410
2017-06-21,7,317
2017-06-22,7,322
2017-06-23,8,338
2017-06-24,1,11
2017-06-25,0,4
2017-06-26,15,401
2017-06-27,10,387
2017-06-28,11,344
2017-06-29,8,324
2017-06-30,11,343
2017-07-01,0,11
2017-07-02,0,5
2017-07-03,13,431
2017-07-04,12,391
2017-07-05,10,370
2017-07-06,12,341
2017-07-07,11,344
2017-07-08,0,9
2017-07-09,0,4
2017-07-10,13,448
2017-07-11,13,356
2017-07-12,9,361
2017-07-13,13,306
2017-07-14,12,377
2017-07-15,1,8
2017-07-16,0,5
2017-07-17,10,477
2017-07-18,13,392
2017-07-19,8,367
2017-07-20,8,307
2017-07-21,10,304
2017-07-22,0,7
2017-07-23,0,6
2017-07-24,12,444
2017-07-25,11,399
2017-07-26,7,363
2017-07-27,6,292
2017-07-28,12,344
2017-07-29,0,8
2017-07-30,0,5
2017-07-31,12,463
2017-08-01,9,387
2017-08-02,13,370
2017-08-03,18,357
2017-08-04,4,332
2017-08-05,0,9
2017-08-06,0,5
2017-08-07,10,467
2017-08-08,13,395
2017-08-09,10,351
2017-08-10,9,352
2017-08-11,12,315
2017-08-12,0,6
2017-08-13,0,4
2017-08-14,11,470
2017-08-15,12,412
2017-08-16,8,336
2017-08-17,13,354
2017-08-18,7,333
2017-08-19,0,4
2017-08-20,0,5
2017-08-21,13,472
2017-08-22,12,372
2017-08-23,4,381
2017-08-24,7,350
2017-08-25,12,344
2017-08-26,0,14
2017-08-27,2,4
2017-08-28,0,152
2017-08-29,11,462
2017-08-30,14,455
2017-08-31,8,363
2017-09-01,8,305
2017-09-02,1,7
2017-09-03,0,4
2017-09-04,13,414
2017-09-05,9,430
2017-09-06,6,397
2017-09-07,11,346
2017-09-08,10,327
2017-09-09,1,10
2017-09-10,0,5
2017-09-11,15,406
2017-09-12,8,409
2017-09-13,13,378
2017-09-14,6,340
2017-09-15,3,333
2017-09-16,0,8
2017-09-17,0,5
2017-09-18,14,420
2017-09-19,11,394
2017-09-20,11,411
2017-09-21,10,350
2017-09-22,9,337
2017-09-23,0,8
2017-09-24,0,5
2017-09-25,7,453
2017-09-26,10,429
2017-09-27,10,366
2017-09-28,15,375
2017-09-29,7,323
2017-09-30,1,6
2017-10-01,0,6
2017-10-02,16,443
2017-10-03,10,393
2017-10-04,7,406
2017-10-05,8,326
2017-10-06,13,314
2017-10-07,0,6
2017-10-08,0,6
2017-10-09,14,426
2017-10-10,9,467
2017-10-11,10,374
2017-10-12,8,361
2017-10-13,17,336
2017-10-14,0,6
2017-10-15,0,4
2017-10-16,10,450
2017-10-17,4,397
2017-10-18,11,360
2017-10-19,10,396
2017-10-20,14,369
2017-10-21,0,7
2017-10-22,0,5
2017-10-23,10,388
2017-10-24,10,424
2017-10-25,9,323
2017-10-26,7,344
2017-10-27,9,304
2017-10-28,1,15
2017-10-29,0,8
2017-10-30,6,436
2017-10-31,12,446
2017-11-01,6,345
2017-11-02,15,311
2017-11-03,11,408
2017-11-04,1,8
2017-11-05,0,2
2017-11-06,13,432
2017-11-07,7,373
2017-11-08,5,376
2017-11-09,8,346
2017-11-10,11,380
2017-11-11,0,9
2017-11-12,0,6
2017-11-13,13,464
2017-11-14,5,378
2017-11-15,7,368
2017-11-16,11,315
2017-11-17,9,332
2017-11-18,0,8
2017-11-19,0,3
2017-11-20,7,488
2017-11-21,12,401
2017-11-22,8,358
2017-11-23,13,318
2017-11-24,3,309
2017-11-25,0,10
2017-11-26,0,5
2017-11-27,16,499
2017-11-28,11,421
2017-11-29,8,353
2017-11-30,10,380
2017-12-01,9,313
2017-12-02,1,11
2017-12-03,0,5
2017-12-04,9,512
2017-12-05,7,378
2017-12-06,9,364
2017-12-07,6,366
2017-12-08,13,316
2017-12-09,0,13
2017-12-10,0,6
2017-12-11,11,545
2017-12-12,15,407
2017-12-13,6,376
2017-12-14,11,371
2017-12-15,9,330
2017-12-16,0,10
2017-12-17,0,22
2017-12-18,9,518
2017-12-19,10,458
2017-12-20,7,416
2017-12-21,6,350
2017-12-22,8,349
2017-12-23,0,19
2017-12-24,0,11
2017-12-25,0,160
2017-12-26,0,142
2017-12-27,5,388
2017-12-28,5,348
2017-12-29,9,352
2017-12-30,0,7
2017-12-31,0,15
2018-01-01,0,147
2018-01-02,10,401
2018-01-03,8,391
2018-01-04,12,390
2018-01-05,12,375
2018-01-06,2,13
2018-01-07,0,6
2018-01-08,13,428
2018-01-09,16,421
2018-01-10,13,391
2018-01-11,8,372
2018-01-12,6,343
2018-01-13,0,15
2018-01-14,0,6
2018-01-15,13,414
2018-01-16,10,395
2018-01-17,8,363
2018-01-18,12,362
2018-01-19,8,306
2018-01-20,0,7
2018-01-21,0,5
2018-01-22,8,392
2018-01-23,14,381
2018-01-24,9,353
2018-01-25,9,343
2018-01-26,11,331
2018-01-27,1,11
2018-01-28,0,6
2018-01-29,14,412
2018-01-30,10,396
2018-01-31,13,323
2018-02-01,8,360
2018-02-02,7,288
2018-02-03,0,9
2018-02-04,1,6
2018-02-05,15,428
2018-02-06,12,387
2018-02-07,15,363
2018-02-08,13,335
2018-02-09,10,305
2018-02-10,1,9
2018-02-11,0,8
2018-02-12,10,453
2018-02-13,13,378
2018-02-14,10,336
2018-02-15,9,294
2018-02-16,6,310
2018-02-17,0,7
2018-02-18,1,6
2018-02-19,10,453
2018-02-20,9,379
2018-02-21,6,336
2018-02-22,6,303
2018-02-23,8,302
2018-02-24,0,14
2018-02-25,0,5
2018-02-26,12,499
2018-02-27,11,343
2018-02-28,13,336
2018-03-01,11,314
2018-03-02,11,350
2018-03-03,0,8
2018-03-04,0,7
2018-03-05,17,459
2018-03-06,7,381
2018-03-07,2,391
2018-03-08,16,352
2018-03-09,5,327
2018-03-10,0,11
2018-03-11,0,4
2018-03-12,8,476
2018-03-13,6,373
2018-03-14,9,299
2018-03-15,5,310
2018-03-16,4,324
2018-03-17,0,9
2018-03-18,0,5
2018-03-19,4,460
2018-03-20,11,383
2018-03-21,7,346
2018-03-22,10,333
2018-03-23,7,309
2018-03-24,0,11
2018-03-25,0,4
2018-03-26,3,457
2018-03-27,7,423
2018-03-28,7,350
2018-03-29,15,415
2018-03-30,0,96
2018-03-31,0,7
2018-04-01,0,4
2018-04-02,0,163
2018-04-03,9,446
2018-04-04,13,448
2018-04-05,8,391
2018-04-06,11,311
2018-04-07,0,5
2018-04-08,0,5
2018-04-09,8,412
2018-04-10,6,415
2018-04-11,10,358
2018-04-12,12,318
2018-04-13,13,285
2018-04-14,0,4
2018-04-15,0,8
2018-04-16,4,440
2018-04-17,10,425
2018-04-18,9,362
2018-04-19,11,312
2018-04-20,5,307
2018-04-21,0,9
2018-04-22,0,8
2018-04-23,15,422
2018-04-24,7,398
2018-04-25,8,340
2018-04-26,13,303
2018-04-27,9,289
2018-04-28,0,7
2018-04-29,0,5
2018-04-30,13,466
2018-05-01,5,408
2018-05-02,12,386
2018-05-03,7,343
2018-05-04,8,348
2018-05-05,0,8
2018-05-06,0,9
2018-05-07,0,155
2018-05-08,10,452
2018-05-09,9,400
2018-05-10,12,387
2018-05-11,5,312
2018-05-12,0,9
2018-05-13,0,5
2018-05-14,10,390
2018-05-15,8,363
2018-05-16,9,315
2018-05-17,11,311
2018-05-18,7,315
2018-05-19,0,5
2018-05-20,0,8
2018-05-21,8,425
2018-05-22,4,357
2018-05-23,12,352
2018-05-24,6,317
2018-05-25,11,328
2018-05-26,0,8
2018-05-27,1,10
2018-05-28,0,141
2018-05-29,5,401
2018-05-30,11,380
2018-05-31,5,344
2018-06-01,8,327
2018-06-02,1,6
2018-06-03,0,9
2018-06-04,10,441
2018-06-05,9,423
2018-06-06,4,335
2018-06-07,7,320
2018-06-08,3,302
2018-06-09,0,5
2018-06-10,0,4
2018-06-11,6,420
2018-06-12,8,377
2018-06-13,7,346
2018-06-14,15,308
2018-06-15,8,306
2018-06-16,0,4
2018-06-17,0,3
2018-06-18,5,427
2018-06-19,10,352
