Date,IncidenceOfRespiratory,PrevalenceOfRespiratory
2018-06-21,4,35
2018-06-22,6,25
2018-06-23,1,1
2018-06-24,0,1
2018-06-25,7,33
2018-06-26,6,36
2018-06-27,4,34
2018-06-28,5,24
2018-06-29,2,20
2018-06-30,0,1
2018-07-01,1,2
2018-07-02,5,41
2018-07-03,3,28
2018-07-04,3,31
2018-07-05,7,28
2018-07-06,1,19
2018-07-07,0,0
2018-07-08,1,2
2018-07-09,4,32
2018-07-10,4,17
2018-07-11,4,27
2018-07-12,5,28
2018-07-13,3,19
2018-07-14,0,0
2018-07-15,0,0
2018-07-16,7,57
2018-07-17,2,34
2018-07-18,6,31
2018-07-19,5,33
2018-07-20,2,17
2018-07-21,0,0
2018-07-22,0,0
2018-07-23,3,31
2018-07-24,4,26
2018-07-25,1,22
2018-07-26,3,20
2018-07-27,1,20
2018-07-28,0,2
2018-07-29,0,0
2018-07-30,6,48
2018-07-31,1,20
2018-08-01,2,34
2018-08-02,5,32
2018-08-03,3,26
2018-08-04,0,0
2018-08-05,0,1
2018-08-06,5,35
2018-08-07,8,24
2018-08-08,1,25
2018-08-09,3,20
2018-08-10,6,24
2018-08-11,0,1
2018-08-12,0,0
2018-08-13,2,33
2018-08-14,7,69
2018-08-15,9,36
2018-08-16,5,18
2018-08-17,2,16
2018-08-18,0,0
2018-08-19,0,1
2018-08-20,3,26
2018-08-21,3,19
2018-08-22,1,23
2018-08-23,8,31
2018-08-24,5,26
2018-08-25,0,0
2018-08-26,0,0
2018-08-27,0,2
2018-08-28,3,25
2018-08-29,6,31
2018-08-30,2,23
2018-08-31,6,19
2018-09-01,0,3
2018-09-02,0,2
2018-09-03,4,36
2018-09-04,8,35
2018-09-05,6,29
2018-09-06,5,30
2018-09-07,4,21
2018-09-08,0,0
2018-09-09,0,0
2018-09-10,4,37
2018-09-11,3,25
2018-09-12,3,28
2018-09-13,0,28
2018-09-14,5,22
2018-09-15,0,0
2018-09-16,0,1
2018-09-17,7,19
2018-09-18,6,23
2018-09-19,3,28
2018-09-20,7,29
2018-09-21,5,24
2018-09-22,1,3
2018-09-23,0,0
2018-09-24,3,42
2018-09-25,5,36
2018-09-26,3,25
2018-09-27,6,42
2018-09-28,1,22
2018-09-29,0,2
2018-09-30,0,0
2018-10-01,7,62
2018-10-02,6,63
2018-10-03,3,32
2018-10-04,4,50
2018-10-05,4,35
2018-10-06,1,2
2018-10-07,0,1
2018-10-08,7,46
2018-10-09,7,34
2018-10-10,2,25
2018-10-11,3,42
2018-10-12,5,42
2018-10-13,0,1
2018-10-14,0,0
2018-10-15,7,33
2018-10-16,4,30
2018-10-17,4,44
2018-10-18,3,44
2018-10-19,4,32
2018-10-20,0,1
2018-10-21,0,0
2018-10-22,7,36
2018-10-23,5,30
2018-10-24,10,27
2018-10-25,4,36
2018-10-26,3,35
2018-10-27,0,2
2018-10-28,0,1
2018-10-29,5,44
2018-10-30,1,49
2018-10-31,8,38
2018-11-01,6,35
2018-11-02,3,40
2018-11-03,0,1
2018-11-04,0,0
2018-11-05,4,29
2018-11-06,2,33
2018-11-07,4,63
2018-11-08,1,36
2018-11-09,9,28
2018-11-10,1,2
2018-11-11,0,0
2018-11-12,7,76
2018-11-13,6,33
2018-11-14,4,29
2018-11-15,3,26
2018-11-16,9,32
2018-11-17,0,1
2018-11-18,1,5
2018-11-19,5,43
2018-11-20,7,44
2018-11-21,5,71
2018-11-22,5,50
2018-11-23,4,42
2018-11-24,0,1
2018-11-25,1,1
2018-11-26,4,38
2018-11-27,3,34
2018-11-28,6,39
2018-11-29,6,40
2018-11-30,4,59
2018-12-01,1,2
2018-12-02,1,1
2018-12-03,5,40
2018-12-04,4,39
2018-12-05,12,55
2018-12-06,10,35
2018-12-07,10,36
2018-12-08,0,1
2018-12-09,1,1
2018-12-10,4,53
2018-12-11,3,50
2018-12-12,4,64
2018-12-13,6,93
2018-12-14,6,25
2018-12-15,0,3
2018-12-16,0,0
2018-12-17,7,93
2018-12-18,5,78
2018-12-19,6,51
2018-12-20,6,71
2018-12-21,6,90
2018-12-22,2,6
2018-12-23,0,2
2018-12-24,0,50
2018-12-25,0,2
2018-12-26,1,2
2018-12-27,3,38
2018-12-28,4,32
2018-12-29,0,1
2018-12-30,0,1
2018-12-31,1,30
2019-01-01,0,2
2019-01-02,9,58
2019-01-03,7,86
2019-01-04,0,44
2019-01-05,0,1
2019-01-06,1,3
2019-01-07,11,61
2019-01-08,5,79
2019-01-09,6,82
2019-01-10,10,84
2019-01-11,3,48
2019-01-12,1,1
2019-01-13,0,0
2019-01-14,8,52
2019-01-15,9,58
2019-01-16,1,38
2019-01-17,5,51
2019-01-18,3,60
2019-01-19,0,1
2019-01-20,0,1
2019-01-21,6,49
2019-01-22,8,49
2019-01-23,4,55
2019-01-24,8,35
2019-01-25,3,45
2019-01-26,0,4
2019-01-27,0,2
2019-01-28,4,50
2019-01-29,3,40
2019-01-30,4,32
2019-01-31,5,45
2019-02-01,2,36
2019-02-02,0,2
2019-02-03,1,2
2019-02-04,3,46
2019-02-05,3,40
2019-02-06,6,36
2019-02-07,4,43
2019-02-08,3,40
2019-02-09,1,3
2019-02-10,0,0
2019-02-11,7,56
2019-02-12,6,39
2019-02-13,7,38
2019-02-14,5,42
2019-02-15,9,39
2019-02-16,0,0
2019-02-17,1,1
2019-02-18,2,46
2019-02-19,6,38
2019-02-20,6,48
2019-02-21,4,48
2019-02-22,4,44
2019-02-23,0,0
2019-02-24,0,0
2019-02-25,2,34
2019-02-26,4,35
2019-02-27,7,57
2019-02-28,3,67
2019-03-01,0,44
2019-03-02,2,2
2019-03-03,1,3
2019-03-04,4,49
2019-03-05,2,43
2019-03-06,8,41
2019-03-07,3,52
2019-03-08,1,29
2019-03-09,1,1
2019-03-10,0,1
2019-03-11,6,53
2019-03-12,3,33
2019-03-13,3,30
2019-03-14,7,30
2019-03-15,4,32
2019-03-16,0,1
2019-03-17,1,2
2019-03-18,9,44
2019-03-19,6,45
2019-03-20,4,41
2019-03-21,6,26
2019-03-22,3,26
2019-03-23,0,0
2019-03-24,0,1
2019-03-25,3,41
2019-03-26,7,39
2019-03-27,7,61
2019-03-28,4,48
2019-03-29,1,33
2019-03-30,0,3
2019-03-31,0,0
2019-04-01,9,49
2019-04-02,2,38
2019-04-03,6,69
2019-04-04,6,40
2019-04-05,6,32
2019-04-06,0,1
2019-04-07,1,2
2019-04-08,10,56
2019-04-09,6,56
2019-04-10,8,79
2019-04-11,4,38
2019-04-12,2,31
2019-04-13,0,0
2019-04-14,0,2
2019-04-15,5,37
2019-04-16,5,31
2019-04-17,3,26
2019-04-18,6,34
2019-04-19,0,0
2019-04-20,0,0
2019-04-21,0,1
2019-04-22,0,2
2019-04-23,6,40
2019-04-24,8,38
2019-04-25,6,37
2019-04-26,7,42
2019-04-27,0,0
2019-04-28,0,0
2019-04-29,3,56
2019-04-30,10,42
2019-05-01,5,39
2019-05-02,3,20
2019-05-03,2,29
2019-05-04,0,0
2019-05-05,0,2
2019-05-06,0,3
2019-05-07,8,42
2019-05-08,5,35
2019-05-09,6,39
2019-05-10,10,36
2019-05-11,0,0
2019-05-12,0,1
2019-05-13,7,44
2019-05-14,8,41
2019-05-15,6,32
2019-05-16,15,65
2019-05-17,6,40
2019-05-18,0,3
2019-05-19,0,0
2019-05-20,7,61
2019-05-21,5,88
2019-05-22,7,40
2019-05-23,3,33
2019-05-24,3,19
2019-05-25,0,0
2019-05-26,1,5
2019-05-27,0,1
2019-05-28,1,27
2019-05-29,3,32
2019-05-30,4,35
2019-05-31,0,28
2019-06-01,1,1
2019-06-02,0,0
2019-06-03,6,37
2019-06-04,6,31
2019-06-05,6,36
2019-06-06,6,38
2019-06-07,2,33
2019-06-08,0,4
2019-06-09,0,1
2019-06-10,9,48
2019-06-11,4,42
2019-06-12,8,62
2019-06-13,8,31
2019-06-14,1,28
2019-06-15,1,2
2019-06-16,0,0
2019-06-17,7,51
2019-06-18,4,49
2019-06-19,2,97
2019-06-20,5,103
2019-06-21,5,40
2019-06-22,1,1
2019-06-23,0,0
2019-06-24,8,66
2019-06-25,12,44
2019-06-26,6,36
2019-06-27,6,53
2019-06-28,4,34
2019-06-29,0,1
2019-06-30,0,2
2019-07-01,7,50
2019-07-02,7,43
2019-07-03,4,52
2019-07-04,4,31
2019-07-05,6,100
2019-07-06,0,1
2019-07-07,0,0
2019-07-08,7,137
2019-07-09,4,42
2019-07-10,8,49
2019-07-11,7,54
2019-07-12,11,32
2019-07-13,0,1
2019-07-14,0,1
2019-07-15,8,49
2019-07-16,8,38
2019-07-17,9,45
2019-07-18,2,38
2019-07-19,1,19
2019-07-20,0,0
2019-07-21,0,1
2019-07-22,3,60
2019-07-23,4,37
2019-07-24,9,32
2019-07-25,2,27
2019-07-26,3,22
2019-07-27,0,1
2019-07-28,0,1
2019-07-29,5,55
2019-07-30,3,31
2019-07-31,7,45
2019-08-01,7,45
2019-08-02,6,34
2019-08-03,0,2
2019-08-04,0,3
2019-08-05,5,52
2019-08-06,7,29
2019-08-07,1,30
2019-08-08,6,44
2019-08-09,4,35
2019-08-10,0,0
2019-08-11,0,1
2019-08-12,10,60
2019-08-13,6,45
2019-08-14,6,43
2019-08-15,2,104
2019-08-16,3,98
2019-08-17,1,2
2019-08-18,0,0
2019-08-19,7,44
2019-08-20,7,50
2019-08-21,6,35
2019-08-22,2,34
2019-08-23,3,34
2019-08-24,0,3
2019-08-25,1,1
2019-08-26,0,0
2019-08-27,4,37
2019-08-28,9,37
2019-08-29,6,44
2019-08-30,7,28
2019-08-31,0,0
2019-09-01,1,2
2019-09-02,10,103
2019-09-03,8,68
2019-09-04,1,54
2019-09-05,4,40
2019-09-06,5,33
2019-09-07,0,0
2019-09-08,1,2
2019-09-09,8,46
2019-09-10,3,34
2019-09-11,3,29
2019-09-12,7,18
2019-09-13,4,64
2019-09-14,2,2
2019-09-15,1,1
2019-09-16,8,97
2019-09-17,11,55
2019-09-18,6,44
2019-09-19,2,25
2019-09-20,5,26
2019-09-21,1,2
2019-09-22,0,0
2019-09-23,8,66
2019-09-24,6,57
2019-09-25,8,51
2019-09-26,7,49
2019-09-27,7,26
2019-09-28,1,3
2019-09-29,0,1
2019-09-30,7,58
2019-10-01,14,59
2019-10-02,7,37
2019-10-03,5,58
2019-10-04,10,41
2019-10-05,0,0
2019-10-06,0,0
2019-10-07,11,57
2019-10-08,5,48
2019-10-09,5,50
2019-10-10,9,50
2019-10-11,4,37
2019-10-12,1,1
2019-10-13,0,2
2019-10-14,8,127
2019-10-15,7,47
2019-10-16,6,43
2019-10-17,6,44
2019-10-18,4,29
2019-10-19,1,1
2019-10-20,0,0
2019-10-21,5,52
2019-10-22,5,39
2019-10-23,7,36
2019-10-24,5,42
2019-10-25,6,30
2019-10-26,2,3
2019-10-27,0,2
2019-10-28,5,43
2019-10-29,8,54
2019-10-30,5,41
2019-10-31,6,31
2019-11-01,5,41
2019-11-02,0,4
2019-11-03,0,2
2019-11-04,3,40
2019-11-05,2,23
2019-11-06,13,46
2019-11-07,7,38
2019-11-08,5,34
2019-11-09,0,1
2019-11-10,1,2
2019-11-11,5,42
2019-11-12,1,29
2019-11-13,3,41
2019-11-14,3,46
2019-11-15,6,33
2019-11-16,0,2
2019-11-17,0,2
2019-11-18,5,44
2019-11-19,7,62
2019-11-20,6,28
2019-11-21,7,37
2019-11-22,2,32
2019-11-23,0,0
2019-11-24,0,1
2019-11-25,7,53
2019-11-26,7,49
2019-11-27,7,43
2019-11-28,4,37
2019-11-29,8,33
2019-11-30,2,4
2019-12-01,1,1
2019-12-02,5,41
2019-12-03,5,26
2019-12-04,4,48
2019-12-05,6,51
2019-12-06,1,28
2019-12-07,0,1
2019-12-08,1,5
2019-12-09,10,61
2019-12-10,6,54
2019-12-11,4,40
2019-12-12,8,63
2019-12-13,2,20
2019-12-14,0,1
2019-12-15,1,1
2019-12-16,6,48
2019-12-17,7,45
2019-12-18,8,44
2019-12-19,7,73
2019-12-20,9,54
2019-12-21,0,2
2019-12-22,0,2
2019-12-23,8,42
2019-12-24,4,29
2019-12-25,0,3
2019-12-26,0,2
2019-12-27,1,31
2019-12-28,0,3
2019-12-29,0,0
2019-12-30,5,35
2019-12-31,3,34
2020-01-01,2,2
2020-01-02,9,52
2020-01-03,3,46
2020-01-04,0,1
2020-01-05,0,4
2020-01-06,9,55
2020-01-07,10,72
2020-01-08,3,57
2020-01-09,10,42
2020-01-10,10,46
2020-01-11,1,3
2020-01-12,0,1
2020-01-13,5,53
2020-01-14,11,58
2020-01-15,4,26
2020-01-16,6,46
2020-01-17,3,28
2020-01-18,0,0
2020-01-19,0,1
2020-01-20,4,40
2020-01-21,4,37
2020-01-22,2,21
2020-01-23,6,26
2020-01-24,5,29
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,5,48
2020-01-28,2,36
2020-01-29,12,34
2020-01-30,6,40
2020-01-31,8,27
2020-02-01,0,1
2020-02-02,0,1
2020-02-03,6,35
2020-02-04,5,41
2020-02-05,5,25
2020-02-06,5,33
2020-02-07,6,24
2020-02-08,0,0
2020-02-09,0,2
2020-02-10,5,48
2020-02-11,4,19
2020-02-12,3,25
2020-02-13,6,28
2020-02-14,3,25
2020-02-15,0,2
2020-02-16,0,0
2020-02-17,2,33
2020-02-18,5,28
2020-02-19,3,33
2020-02-20,5,25
2020-02-21,7,18
2020-02-22,0,0
2020-02-23,0,2
2020-02-24,8,44
2020-02-25,9,37
2020-02-26,2,36
2020-02-27,3,34
2020-02-28,5,30
2020-02-29,0,1
2020-03-01,1,2
2020-03-02,1,36
2020-03-03,3,21
2020-03-04,4,22
2020-03-05,1,16
2020-03-06,3,15
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,1,27
2020-03-10,1,23
2020-03-11,5,25
2020-03-12,5,28
2020-03-13,1,15
2020-03-14,0,1
2020-03-15,1,2
2020-03-16,4,39
2020-03-17,2,26
2020-03-18,4,36
2020-03-19,8,30
2020-03-20,0,23
2020-03-21,0,1
2020-03-22,0,0
2020-03-23,9,43
2020-03-24,8,36
2020-03-25,2,27
2020-03-26,3,26
2020-03-27,4,18
2020-03-28,1,3
2020-03-29,0,0
2020-03-30,2,33
2020-03-31,2,22
2020-04-01,6,22
2020-04-02,6,26
2020-04-03,1,16
2020-04-04,0,2
2020-04-05,0,0
2020-04-06,5,39
2020-04-07,0,26
2020-04-08,2,24
2020-04-09,6,26
2020-04-10,2,6
2020-04-11,0,1
2020-04-12,0,0
2020-04-13,1,14
2020-04-14,6,26
2020-04-15,2,20
2020-04-16,7,21
2020-04-17,2,23
2020-04-18,0,1
2020-04-19,0,1
2020-04-20,1,24
2020-04-21,4,28
2020-04-22,4,42
2020-04-23,2,27
2020-04-24,1,31
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,4,50
2020-04-28,2,35
2020-04-29,3,28
2020-04-30,1,17
2020-05-01,4,32
2020-05-02,0,0
2020-05-03,1,1
2020-05-04,2,32
2020-05-05,1,31
2020-05-06,3,20
2020-05-07,1,13
2020-05-08,0,8
2020-05-09,0,0
2020-05-10,0,0
2020-05-11,4,21
2020-05-12,1,16
2020-05-13,0,16
2020-05-14,4,21
2020-05-15,0,11
2020-05-16,0,0
2020-05-17,0,0
2020-05-18,0,0
2020-05-19,0,0
2020-05-20,0,0
2020-05-21,0,0
